ALPHA = 1.5
JOBS COUNT = 50
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_12__10		10,67		7,12	7,07	0,00		7,10		0
-1.0_0.0_12__2		50,55		45,70	45,63	0,00		45,67		0
-1.0_0.0_12__4		25,47		21,56	21,49	0,00		21,53		0
-1.0_0.0_12__6		17,17		13,65	13,58	0,00		13,60		0
-1.0_0.0_12__8		13,04		9,73	9,69	0,00		9,71		0
-1.0_0.3_12__10		11,10		6,57	4,90	0,00		5,87		0
-1.0_0.3_12__2		50,73		45,05	43,00	0,00		44,33		0
-1.0_0.3_12__4		25,67		20,84	19,51	0,00		20,35		0
-1.0_0.3_12__6		17,39		13,04	12,05	0,00		12,61		0
-1.0_0.3_12__8		13,30		8,97	8,32	0,00		8,78		0
-1.0_0.5_12__10		11,59		5,01	3,15	0,00		4,67		0
-1.0_0.5_12__2		50,95		44,03	41,48	0,00		42,68		0
-1.0_0.5_12__4		25,84		20,13	18,97	0,00		19,45		0
-1.0_0.5_12__6		17,62		12,60	10,48	0,00		11,72		0
-1.0_0.5_12__8		13,56		8,42	6,56	0,00		7,95		0
-1.0_0.7_12__10		12,11		5,90	2,81	0,00		3,58		0
-1.0_0.7_12__2		51,26		42,35	38,41	0,00		40,37		0
-1.0_0.7_12__4		26,22		18,48	16,65	0,00		17,59		0
-1.0_0.7_12__6		18,10		11,37	9,22	0,00		10,06		0
-1.0_0.7_12__8		13,99		7,73	5,56	0,00		6,77		0
-1.0_1.0_12__10		11,09		6,29	5,59	0,00		5,96		0
-1.0_1.0_12__2		50,78		44,47	42,80	0,00		43,97		0
-1.0_1.0_12__4		25,72		20,51	19,90	0,00		20,16		0
-1.0_1.0_12__6		17,46		12,87	11,92	0,00		12,42		0
-1.0_1.0_12__8		13,36		8,85	8,24	0,00		8,63		0



ALPHA = 1.5
JOBS COUNT = 100
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_12__10		10,30		8,39	8,35	0,00		8,37		0
-1.0_0.0_12__2		50,30		47,68	47,64	0,00		47,66		0
-1.0_0.0_12__4		25,24		23,06	23,03	0,00		23,04		0
-1.0_0.0_12__6		16,91		14,92	14,88	0,00		14,90		0
-1.0_0.0_12__8		12,76		10,86	10,84	0,00		10,85		0
-1.0_0.3_12__10		10,47		7,90	7,32	0,00		7,77		0
-1.0_0.3_12__2		50,39		47,15	46,62	0,00		46,93		0
-1.0_0.3_12__4		25,33		22,67	22,10	0,00		22,43		0
-1.0_0.3_12__6		17,02		14,49	14,07	0,00		14,30		0
-1.0_0.3_12__8		12,89		10,49	9,92	0,00		10,29		0
-1.0_0.5_12__10		10,65		7,63	6,55	0,00		7,20		0
-1.0_0.5_12__2		50,51		46,40	45,44	0,00		45,98		0
-1.0_0.5_12__4		25,45		22,00	21,27	0,00		21,70		0
-1.0_0.5_12__6		17,15		14,07	13,32	0,00		13,71		0
-1.0_0.5_12__8		13,03		9,97	9,35	0,00		9,74		0
-1.0_0.7_12__10		10,99		6,93	5,66	0,00		6,28		0
-1.0_0.7_12__2		50,69		45,45	43,74	0,00		44,60		0
-1.0_0.7_12__4		25,65		21,21	19,59	0,00		20,53		0
-1.0_0.7_12__6		17,42		13,04	11,87	0,00		12,57		0
-1.0_0.7_12__8		13,31		9,39	7,84	0,00		8,84		0
-1.0_1.0_12__10		10,51		7,83	7,57	0,00		7,69		0
-1.0_1.0_12__2		50,42		46,92	46,47	0,00		46,67		0
-1.0_1.0_12__4		25,36		22,46	22,01	0,00		22,25		0
-1.0_1.0_12__6		17,06		14,35	13,99	0,00		14,18		0
-1.0_1.0_12__8		12,93		10,35	9,92	0,00		10,19		0



ALPHA = 2.0
JOBS COUNT = 50
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_12__10		10,47		7,42	7,37	0,00		7,39		0
-1.0_0.0_12__2		50,71		46,55	46,47	0,00		46,50		0
-1.0_0.0_12__4		25,46		22,09	22,05	0,00		22,07		0
-1.0_0.0_12__6		17,08		14,04	13,99	0,00		14,02		0
-1.0_0.0_12__8		12,90		10,06	10,02	0,00		10,04		0
-1.0_0.3_12__10		10,80		6,88	5,21	0,00		6,19		0
-1.0_0.3_12__2		50,95		45,84	44,21	0,00		45,37		0
-1.0_0.3_12__4		25,65		21,65	20,35	0,00		21,08		0
-1.0_0.3_12__6		17,27		13,44	12,58	0,00		13,09		0
-1.0_0.3_12__8		13,11		9,38	8,73	0,00		9,14		0
-1.0_0.5_12__10		11,08		6,23	4,21	0,00		5,33		0
-1.0_0.5_12__2		51,24		45,03	42,67	0,00		43,99		0
-1.0_0.5_12__4		25,87		20,82	18,12	0,00		19,98		0
-1.0_0.5_12__6		17,48		12,61	11,84	0,00		12,18		0
-1.0_0.5_12__8		13,30		8,84	7,97	0,00		8,39		0
-1.0_0.7_12__10		11,53		6,60	3,40	0,00		4,15		0
-1.0_0.7_12__2		51,62		43,82	40,91	0,00		42,26		0
-1.0_0.7_12__4		26,16		20,05	17,25	0,00		18,68		0
-1.0_0.7_12__6		17,82		12,04	9,94	0,00		10,89		0
-1.0_0.7_12__8		13,63		8,17	6,03	0,00		7,29		0
-1.0_1.0_12__10		10,76		6,59	6,23	0,00		6,40		0
-1.0_1.0_12__2		50,99		45,53	44,70	0,00		45,19		0
-1.0_1.0_12__4		25,68		21,31	20,70	0,00		20,96		0
-1.0_1.0_12__6		17,30		13,27	12,72	0,00		13,02		0
-1.0_1.0_12__8		13,13		9,27	8,86	0,00		9,11		0



ALPHA = 2.0
JOBS COUNT = 100
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_12__10		10,21		8,59	8,57	0,00		8,58		0
-1.0_0.0_12__2		50,37		48,17	48,15	0,00		48,16		0
-1.0_0.0_12__4		25,23		23,40	23,38	0,00		23,39		0
-1.0_0.0_12__6		16,87		15,19	15,16	0,00		15,18		0
-1.0_0.0_12__8		12,69		11,10	11,08	0,00		11,09		0
-1.0_0.3_12__10		10,33		8,15	7,66	0,00		8,01		0
-1.0_0.3_12__2		50,51		47,69	47,29	0,00		47,50		0
-1.0_0.3_12__4		25,33		23,00	22,59	0,00		22,79		0
-1.0_0.3_12__6		16,95		14,83	14,56	0,00		14,66		0
-1.0_0.3_12__8		12,79		10,64	10,43	0,00		10,57		0
-1.0_0.5_12__10		10,45		7,68	6,90	0,00		7,51		0
-1.0_0.5_12__2		50,65		47,36	46,42	0,00		46,82		0
-1.0_0.5_12__4		25,43		22,64	21,86	0,00		22,22		0
-1.0_0.5_12__6		17,06		14,44	13,78	0,00		14,11		0
-1.0_0.5_12__8		12,90		10,27	9,68	0,00		10,04		0
-1.0_0.7_12__10		10,69		7,00	6,15	0,00		6,71		0
-1.0_0.7_12__2		50,88		46,32	44,86	0,00		45,69		0
-1.0_0.7_12__4		25,62		21,72	20,56	0,00		21,24		0
-1.0_0.7_12__6		17,23		13,79	12,96	0,00		13,32		0
-1.0_0.7_12__8		13,10		9,76	8,51	0,00		9,25		0
-1.0_1.0_12__10		10,34		8,12	7,86	0,00		8,01		0
-1.0_1.0_12__2		50,53		47,61	47,19	0,00		47,40		0
-1.0_1.0_12__4		25,34		22,92	22,62	0,00		22,75		0
-1.0_1.0_12__6		16,97		14,74	14,40	0,00		14,60		0
-1.0_1.0_12__8		12,81		10,66	10,37	0,00		10,52		0



ALPHA = 2.5
JOBS COUNT = 50
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_12__10		10,39		7,56	7,51	0,00		7,54		0
-1.0_0.0_12__2		50,79		46,93	46,88	0,00		46,90		0
-1.0_0.0_12__4		25,46		22,35	22,31	0,00		22,33		0
-1.0_0.0_12__6		17,04		14,24	14,19	0,00		14,21		0
-1.0_0.0_12__8		12,84		10,21	10,19	0,00		10,20		0
-1.0_0.3_12__10		10,63		7,04	5,49	0,00		6,48		0
-1.0_0.3_12__2		51,07		46,42	45,20	0,00		45,83		0
-1.0_0.3_12__4		25,65		21,72	21,04	0,00		21,38		0
-1.0_0.3_12__6		17,22		13,98	12,77	0,00		13,30		0
-1.0_0.3_12__8		13,01		9,55	9,00	0,00		9,39		0
-1.0_0.5_12__10		10,86		6,37	5,27	0,00		5,62		0
-1.0_0.5_12__2		51,38		45,62	43,88	0,00		44,67		0
-1.0_0.5_12__4		25,85		21,17	19,09	0,00		20,44		0
-1.0_0.5_12__6		17,40		12,96	11,70	0,00		12,48		0
-1.0_0.5_12__8		13,20		9,05	7,59	0,00		8,58		0
-1.0_0.7_12__10		11,29		5,38	3,73	0,00		4,27		0
-1.0_0.7_12__2		51,77		44,07	42,05	0,00		43,21		0
-1.0_0.7_12__4		26,15		20,26	18,16	0,00		19,14		0
-1.0_0.7_12__6		17,69		12,30	10,24	0,00		11,29		0
-1.0_0.7_12__8		13,46		8,43	6,45	0,00		7,56		0
-1.0_1.0_12__10		10,63		6,83	6,24	0,00		6,53		0
-1.0_1.0_12__2		51,10		46,13	45,24	0,00		45,72		0
-1.0_1.0_12__4		25,67		21,62	20,99	0,00		21,31		0
-1.0_1.0_12__6		17,24		13,57	12,92	0,00		13,27		0
-1.0_1.0_12__8		13,04		9,64	8,99	0,00		9,31		0



ALPHA = 2.5
JOBS COUNT = 100
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_12__10		10,17		8,70	8,67	0,00		8,68		0
-1.0_0.0_12__2		50,41		48,39	48,37	0,00		48,38		0
-1.0_0.0_12__4		25,23		23,56	23,54	0,00		23,55		0
-1.0_0.0_12__6		16,85		15,31	15,30	0,00		15,30		0
-1.0_0.0_12__8		12,67		11,21	11,19	0,00		11,20		0
-1.0_0.3_12__10		10,26		8,41	8,04	0,00		8,17		0
-1.0_0.3_12__2		50,56		48,02	47,60	0,00		47,81		0
-1.0_0.3_12__4		25,33		23,19	22,91	0,00		23,04		0
-1.0_0.3_12__6		16,93		14,97	14,60	0,00		14,82		0
-1.0_0.3_12__8		12,74		10,89	10,43	0,00		10,73		0
-1.0_0.5_12__10		10,36		8,01	7,43	0,00		7,69		0
-1.0_0.5_12__2		50,73		47,47	46,54	0,00		47,13		0
-1.0_0.5_12__4		25,42		22,79	22,15	0,00		22,54		0
-1.0_0.5_12__6		17,02		14,70	14,06	0,00		14,32		0
-1.0_0.5_12__8		12,85		10,59	9,89	0,00		10,18		0
-1.0_0.7_12__10		10,54		7,14	6,43	0,00		6,95		0
-1.0_0.7_12__2		50,97		46,67	45,84	0,00		46,22		0
-1.0_0.7_12__4		25,62		22,07	21,12	0,00		21,58		0
-1.0_0.7_12__6		17,19		13,88	13,16	0,00		13,52		0
-1.0_0.7_12__8		13,00		9,93	9,16	0,00		9,52		0
-1.0_1.0_12__10		10,27		8,29	8,02	0,00		8,16		0
-1.0_1.0_12__2		50,57		47,90	47,57	0,00		47,75		0
-1.0_1.0_12__4		25,34		23,12	22,84	0,00		22,97		0
-1.0_1.0_12__6		16,95		14,88	14,60	0,00		14,76		0
