id;alpha;jobs_count;single;small;example_number;blocks;series_name;energy;jobs;lower_bound;solution;permutation;iteration_solution_found;time_solution_found;total_ga_time;iterations_count;population_size;elites_count;random_initial_population_probability;best_random_population_size;selection_type;crossover_probability;crossover_type;mutation_probability;mutation_type;mutation_window;lambda;include_zero
1;1.5;50;0.5;0.5;0;0;11;100000;[[2, 90], [2, 575], [1, 875], [2, 425], [2, 650], [2, 200], [2, 575], [2, 875], [1, 725], [1, 350], [2, 275], [2, 20], [2, 575], [2, 30], [2, 80], [2, 725], [1, 500], [1, 875], [2, 40], [2, 70], [2, 275], [2, 100], [1, 30], [2, 50], [2, 50], [1, 725], [2, 725], [1, 200], [1, 40], [2, 90], [1, 500], [1, 10], [1, 40], [1, 50], [2, 875], [2, 275], [2, 60], [2, 90], [2, 90], [1, 200], [2, 350], [1, 575], [1, 70], [2, 30], [1, 800], [2, 10], [1, 500], [2, 20], [2, 80], [2, 30]];6414.9575597616995;6541.826384728628;[46, 29, 33, 12, 48, 14, 50, 44, 19, 32, 40, 25, 23, 24, 37, 34, 20, 15, 49, 30, 39, 1, 38, 22, 6, 17, 42, 28, 43, 3, 31, 47, 10, 26, 36, 11, 21, 41, 45, 9, 18, 4, 13, 2, 7, 5, 27, 16, 35, 8];9405;163;274;10000;200;2;0.2;10;RANKING;0.8;PMX;0.2;SHIFT;-1;0.2;true
2;1.5;50;0.5;0.5;0;0;11;100000;[[2, 90], [2, 575], [1, 875], [2, 425], [2, 650], [2, 200], [2, 575], [2, 875], [1, 725], [1, 350], [2, 275], [2, 20], [2, 575], [2, 30], [2, 80], [2, 725], [1, 500], [1, 875], [2, 40], [2, 70], [2, 275], [2, 100], [1, 30], [2, 50], [2, 50], [1, 725], [2, 725], [1, 200], [1, 40], [2, 90], [1, 500], [1, 10], [1, 40], [1, 50], [2, 875], [2, 275], [2, 60], [2, 90], [2, 90], [1, 200], [2, 350], [1, 575], [1, 70], [2, 30], [1, 800], [2, 10], [1, 500], [2, 20], [2, 80], [2, 30]];6414.9575597616995;6518.136582869575;[46, 32, 34, 29, 12, 33, 43, 23, 14, 50, 44, 48, 19, 24, 25, 37, 20, 15, 49, 1, 38, 30, 39, 28, 40, 22, 6, 31, 47, 17, 26, 10, 42, 36, 21, 11, 41, 45, 9, 18, 3, 4, 2, 13, 7, 5, 16, 27, 8, 35];1985;52;264;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.2;true
3;1.5;50;0.5;0.5;0;0;11;100000;[[2, 90], [2, 575], [1, 875], [2, 425], [2, 650], [2, 200], [2, 575], [2, 875], [1, 725], [1, 350], [2, 275], [2, 20], [2, 575], [2, 30], [2, 80], [2, 725], [1, 500], [1, 875], [2, 40], [2, 70], [2, 275], [2, 100], [1, 30], [2, 50], [2, 50], [1, 725], [2, 725], [1, 200], [1, 40], [2, 90], [1, 500], [1, 10], [1, 40], [1, 50], [2, 875], [2, 275], [2, 60], [2, 90], [2, 90], [1, 200], [2, 350], [1, 575], [1, 70], [2, 30], [1, 800], [2, 10], [1, 500], [2, 20], [2, 80], [2, 30]];6414.9575597616995;6659.884372621578;[46, 29, 2, 32, 33, 12, 14, 44, 31, 50, 24, 11, 34, 40, 15, 19, 25, 37, 49, 48, 43, 20, 1, 39, 30, 21, 22, 6, 26, 47, 18, 42, 17, 45, 28, 9, 23, 10, 4, 3, 36, 41, 7, 38, 13, 5, 27, 16, 35, 8];1;8;260;10000;200;2;0.2;10;RANKING;0.8;OX;0.2;SHIFT;-1;0.2;true
4;1.5;50;0.5;0.5;0;0;11;100000;[[2, 90], [2, 575], [1, 875], [2, 425], [2, 650], [2, 200], [2, 575], [2, 875], [1, 725], [1, 350], [2, 275], [2, 20], [2, 575], [2, 30], [2, 80], [2, 725], [1, 500], [1, 875], [2, 40], [2, 70], [2, 275], [2, 100], [1, 30], [2, 50], [2, 50], [1, 725], [2, 725], [1, 200], [1, 40], [2, 90], [1, 500], [1, 10], [1, 40], [1, 50], [2, 875], [2, 275], [2, 60], [2, 90], [2, 90], [1, 200], [2, 350], [1, 575], [1, 70], [2, 30], [1, 800], [2, 10], [1, 500], [2, 20], [2, 80], [2, 30]];6414.9575597616995;6522.515739599268;[46, 48, 12, 29, 32, 33, 23, 34, 43, 44, 14, 2, 50, 19, 25, 24, 37, 20, 15, 49, 39, 38, 30, 1, 22, 6, 40, 47, 28, 10, 31, 17, 9, 42, 11, 36, 21, 41, 45, 26, 18, 3, 4, 13, 7, 5, 27, 16, 35, 8];12826;215;252;10000;200;2;0.2;10;RANKING;0.8;CX;0.2;SHIFT;-1;0.2;true
5;1.5;50;0.5;0.5;0;0;11;100000;[[2, 90], [2, 575], [1, 875], [2, 425], [2, 650], [2, 200], [2, 575], [2, 875], [1, 725], [1, 350], [2, 275], [2, 20], [2, 575], [2, 30], [2, 80], [2, 725], [1, 500], [1, 875], [2, 40], [2, 70], [2, 275], [2, 100], [1, 30], [2, 50], [2, 50], [1, 725], [2, 725], [1, 200], [1, 40], [2, 90], [1, 500], [1, 10], [1, 40], [1, 50], [2, 875], [2, 275], [2, 60], [2, 90], [2, 90], [1, 200], [2, 350], [1, 575], [1, 70], [2, 30], [1, 800], [2, 10], [1, 500], [2, 20], [2, 80], [2, 30]];6414.9575597616995;6556.695034956812;[46, 29, 34, 32, 48, 12, 44, 50, 14, 40, 23, 19, 25, 24, 37, 20, 15, 49, 38, 1, 30, 39, 22, 6, 31, 17, 28, 43, 10, 9, 33, 36, 21, 11, 41, 42, 8, 47, 45, 26, 3, 18, 4, 2, 13, 7, 5, 27, 16, 35];1664;40;302;10000;200;2;0.2;10;RANKING;0.8;OurCX;0.2;SHIFT;-1;0.2;true
6;1.5;50;0.5;0.5;1;0;11;100000;[[1, 80], [2, 575], [2, 10], [2, 30], [2, 20], [1, 650], [1, 875], [2, 425], [1, 350], [1, 875], [1, 40], [1, 500], [2, 500], [2, 875], [2, 70], [1, 90], [2, 200], [2, 80], [1, 100], [1, 10], [1, 800], [1, 725], [2, 200], [2, 500], [2, 80], [1, 350], [2, 50], [2, 500], [1, 650], [2, 350], [1, 200], [1, 350], [2, 200], [2, 500], [2, 425], [1, 80], [1, 500], [2, 40], [2, 40], [1, 650], [1, 40], [1, 30], [1, 10], [1, 40], [1, 500], [1, 500], [2, 10], [2, 350], [1, 60], [2, 575]];5734.079766682962;5883.337417938671;[47, 3, 5, 43, 42, 44, 1, 19, 11, 4, 38, 39, 27, 9, 20, 15, 41, 18, 25, 26, 36, 31, 12, 32, 23, 17, 33, 6, 16, 37, 45, 46, 29, 40, 21, 7, 22, 10, 30, 48, 49, 35, 8, 34, 13, 24, 28, 2, 50, 14];4134;67;230;10000;200;2;0.2;10;RANKING;0.8;PMX;0.2;SHIFT;-1;0.2;true
7;1.5;50;0.5;0.5;1;0;11;100000;[[1, 80], [2, 575], [2, 10], [2, 30], [2, 20], [1, 650], [1, 875], [2, 425], [1, 350], [1, 875], [1, 40], [1, 500], [2, 500], [2, 875], [2, 70], [1, 90], [2, 200], [2, 80], [1, 100], [1, 10], [1, 800], [1, 725], [2, 200], [2, 500], [2, 80], [1, 350], [2, 50], [2, 500], [1, 650], [2, 350], [1, 200], [1, 350], [2, 200], [2, 500], [2, 425], [1, 80], [1, 500], [2, 40], [2, 40], [1, 650], [1, 40], [1, 30], [1, 10], [1, 40], [1, 500], [1, 500], [2, 10], [2, 350], [1, 60], [2, 575]];5734.079766682962;5874.901468843195;[3, 47, 4, 11, 42, 43, 1, 44, 20, 36, 49, 16, 31, 19, 38, 39, 41, 27, 15, 25, 18, 26, 5, 9, 33, 17, 23, 12, 32, 6, 37, 45, 10, 46, 21, 40, 29, 22, 7, 30, 48, 35, 8, 34, 13, 24, 28, 50, 2, 14];14340;215;227;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.2;true
8;1.5;50;0.5;0.5;1;0;11;100000;[[1, 80], [2, 575], [2, 10], [2, 30], [2, 20], [1, 650], [1, 875], [2, 425], [1, 350], [1, 875], [1, 40], [1, 500], [2, 500], [2, 875], [2, 70], [1, 90], [2, 200], [2, 80], [1, 100], [1, 10], [1, 800], [1, 725], [2, 200], [2, 500], [2, 80], [1, 350], [2, 50], [2, 500], [1, 650], [2, 350], [1, 200], [1, 350], [2, 200], [2, 500], [2, 425], [1, 80], [1, 500], [2, 40], [2, 40], [1, 650], [1, 40], [1, 30], [1, 10], [1, 40], [1, 500], [1, 500], [2, 10], [2, 350], [1, 60], [2, 575]];5734.079766682962;6080.850284516242;[47, 5, 20, 41, 49, 42, 43, 1, 11, 4, 38, 39, 27, 15, 25, 19, 18, 44, 16, 26, 36, 40, 9, 17, 23, 33, 35, 21, 22, 12, 29, 31, 3, 37, 45, 32, 30, 28, 6, 48, 46, 7, 10, 8, 13, 24, 34, 50, 2, 14];1;7;238;10000;200;2;0.2;10;RANKING;0.8;OX;0.2;SHIFT;-1;0.2;true
9;1.5;50;0.5;0.5;1;0;11;100000;[[1, 80], [2, 575], [2, 10], [2, 30], [2, 20], [1, 650], [1, 875], [2, 425], [1, 350], [1, 875], [1, 40], [1, 500], [2, 500], [2, 875], [2, 70], [1, 90], [2, 200], [2, 80], [1, 100], [1, 10], [1, 800], [1, 725], [2, 200], [2, 500], [2, 80], [1, 350], [2, 50], [2, 500], [1, 650], [2, 350], [1, 200], [1, 350], [2, 200], [2, 500], [2, 425], [1, 80], [1, 500], [2, 40], [2, 40], [1, 650], [1, 40], [1, 30], [1, 10], [1, 40], [1, 500], [1, 500], [2, 10], [2, 350], [1, 60], [2, 575]];5734.079766682962;5875.887606977803;[3, 47, 42, 44, 41, 11, 43, 20, 49, 5, 4, 38, 39, 27, 31, 36, 16, 1, 19, 15, 25, 18, 17, 33, 23, 12, 9, 26, 45, 28, 40, 46, 10, 37, 22, 32, 29, 21, 6, 7, 30, 48, 35, 8, 34, 13, 24, 50, 2, 14];14388;216;227;10000;200;2;0.2;10;RANKING;0.8;CX;0.2;SHIFT;-1;0.2;true
10;1.5;50;0.5;0.5;1;0;11;100000;[[1, 80], [2, 575], [2, 10], [2, 30], [2, 20], [1, 650], [1, 875], [2, 425], [1, 350], [1, 875], [1, 40], [1, 500], [2, 500], [2, 875], [2, 70], [1, 90], [2, 200], [2, 80], [1, 100], [1, 10], [1, 800], [1, 725], [2, 200], [2, 500], [2, 80], [1, 350], [2, 50], [2, 500], [1, 650], [2, 350], [1, 200], [1, 350], [2, 200], [2, 500], [2, 425], [1, 80], [1, 500], [2, 40], [2, 40], [1, 650], [1, 40], [1, 30], [1, 10], [1, 40], [1, 500], [1, 500], [2, 10], [2, 350], [1, 60], [2, 575]];5734.079766682962;5880.549654239029;[47, 3, 36, 43, 5, 41, 4, 42, 16, 19, 11, 39, 38, 31, 44, 27, 25, 18, 1, 49, 33, 23, 17, 26, 12, 28, 32, 46, 37, 9, 6, 21, 40, 29, 22, 15, 10, 45, 20, 7, 48, 30, 8, 35, 34, 24, 13, 2, 50, 14];2154;45;278;10000;200;2;0.2;10;RANKING;0.8;OurCX;0.2;SHIFT;-1;0.2;true
