id;alpha;jobs_count;single;small;example_number;blocks;series_name;energy;jobs;lower_bound;solution;permutation;iteration_solution_found;time_solution_found;total_ga_time;iterations_count;population_size;elites_count;random_initial_population_probability;best_random_population_size;selection_type;crossover_probability;crossover_type;mutation_probability;mutation_type;mutation_window;lambda;include_zero
1;1.5;50;0.5;0.5;0;0;11;100000;[[2, 90], [2, 575], [1, 875], [2, 425], [2, 650], [2, 200], [2, 575], [2, 875], [1, 725], [1, 350], [2, 275], [2, 20], [2, 575], [2, 30], [2, 80], [2, 725], [1, 500], [1, 875], [2, 40], [2, 70], [2, 275], [2, 100], [1, 30], [2, 50], [2, 50], [1, 725], [2, 725], [1, 200], [1, 40], [2, 90], [1, 500], [1, 10], [1, 40], [1, 50], [2, 875], [2, 275], [2, 60], [2, 90], [2, 90], [1, 200], [2, 350], [1, 575], [1, 70], [2, 30], [1, 800], [2, 10], [1, 500], [2, 20], [2, 80], [2, 30]];6414.9575597616995;6524.403090333334;[46, 12, 48, 33, 23, 34, 32, 43, 29, 14, 44, 50, 19, 24, 25, 37, 20, 15, 49, 38, 39, 1, 30, 22, 6, 40, 47, 28, 17, 9, 31, 42, 10, 21, 36, 11, 41, 45, 26, 18, 3, 4, 7, 2, 13, 5, 27, 16, 35, 8];7018;128;304;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.2;true
2;1.5;50;0.5;0.5;0;0;11;100000;[[2, 90], [2, 575], [1, 875], [2, 425], [2, 650], [2, 200], [2, 575], [2, 875], [1, 725], [1, 350], [2, 275], [2, 20], [2, 575], [2, 30], [2, 80], [2, 725], [1, 500], [1, 875], [2, 40], [2, 70], [2, 275], [2, 100], [1, 30], [2, 50], [2, 50], [1, 725], [2, 725], [1, 200], [1, 40], [2, 90], [1, 500], [1, 10], [1, 40], [1, 50], [2, 875], [2, 275], [2, 60], [2, 90], [2, 90], [1, 200], [2, 350], [1, 575], [1, 70], [2, 30], [1, 800], [2, 10], [1, 500], [2, 20], [2, 80], [2, 30]];6414.9575597616995;6541.785344030511;[46, 32, 29, 23, 48, 12, 44, 50, 14, 19, 28, 33, 25, 24, 37, 20, 15, 49, 38, 39, 1, 22, 34, 30, 10, 43, 40, 31, 6, 36, 11, 21, 17, 9, 47, 42, 45, 3, 26, 18, 41, 4, 13, 7, 2, 5, 16, 27, 35, 8];10668;227;322;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.5;true
3;1.5;50;0.5;0.5;0;0;11;100000;[[2, 90], [2, 575], [1, 875], [2, 425], [2, 650], [2, 200], [2, 575], [2, 875], [1, 725], [1, 350], [2, 275], [2, 20], [2, 575], [2, 30], [2, 80], [2, 725], [1, 500], [1, 875], [2, 40], [2, 70], [2, 275], [2, 100], [1, 30], [2, 50], [2, 50], [1, 725], [2, 725], [1, 200], [1, 40], [2, 90], [1, 500], [1, 10], [1, 40], [1, 50], [2, 875], [2, 275], [2, 60], [2, 90], [2, 90], [1, 200], [2, 350], [1, 575], [1, 70], [2, 30], [1, 800], [2, 10], [1, 500], [2, 20], [2, 80], [2, 30]];6414.9575597616995;6531.038259593877;[46, 12, 48, 23, 32, 29, 33, 43, 34, 44, 14, 50, 19, 24, 25, 37, 20, 15, 49, 1, 39, 38, 30, 22, 6, 47, 31, 28, 40, 10, 17, 21, 36, 11, 41, 9, 26, 45, 3, 42, 18, 4, 2, 13, 7, 5, 27, 16, 8, 35];8693;185;327;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.8;true
4;1.5;50;0.5;0.5;1;0;11;100000;[[1, 80], [2, 575], [2, 10], [2, 30], [2, 20], [1, 650], [1, 875], [2, 425], [1, 350], [1, 875], [1, 40], [1, 500], [2, 500], [2, 875], [2, 70], [1, 90], [2, 200], [2, 80], [1, 100], [1, 10], [1, 800], [1, 725], [2, 200], [2, 500], [2, 80], [1, 350], [2, 50], [2, 500], [1, 650], [2, 350], [1, 200], [1, 350], [2, 200], [2, 500], [2, 425], [1, 80], [1, 500], [2, 40], [2, 40], [1, 650], [1, 40], [1, 30], [1, 10], [1, 40], [1, 500], [1, 500], [2, 10], [2, 350], [1, 60], [2, 575]];5734.079766682962;5871.569296634557;[47, 3, 43, 44, 49, 42, 5, 4, 39, 31, 36, 1, 41, 11, 20, 16, 19, 38, 27, 15, 18, 25, 23, 17, 33, 45, 26, 9, 32, 40, 46, 37, 6, 10, 29, 12, 21, 22, 7, 48, 30, 8, 35, 13, 28, 34, 24, 50, 2, 14];2896;58;299;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.2;true
5;1.5;50;0.5;0.5;1;0;11;100000;[[1, 80], [2, 575], [2, 10], [2, 30], [2, 20], [1, 650], [1, 875], [2, 425], [1, 350], [1, 875], [1, 40], [1, 500], [2, 500], [2, 875], [2, 70], [1, 90], [2, 200], [2, 80], [1, 100], [1, 10], [1, 800], [1, 725], [2, 200], [2, 500], [2, 80], [1, 350], [2, 50], [2, 500], [1, 650], [2, 350], [1, 200], [1, 350], [2, 200], [2, 500], [2, 425], [1, 80], [1, 500], [2, 40], [2, 40], [1, 650], [1, 40], [1, 30], [1, 10], [1, 40], [1, 500], [1, 500], [2, 10], [2, 350], [1, 60], [2, 575]];5734.079766682962;5847.800418326884;[47, 3, 43, 41, 42, 44, 11, 49, 5, 1, 16, 20, 4, 38, 39, 27, 36, 31, 15, 25, 18, 33, 23, 17, 19, 26, 45, 32, 37, 12, 40, 9, 46, 30, 48, 29, 6, 21, 22, 7, 10, 8, 35, 13, 28, 34, 24, 2, 50, 14];13230;236;273;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.5;true
6;1.5;50;0.5;0.5;1;0;11;100000;[[1, 80], [2, 575], [2, 10], [2, 30], [2, 20], [1, 650], [1, 875], [2, 425], [1, 350], [1, 875], [1, 40], [1, 500], [2, 500], [2, 875], [2, 70], [1, 90], [2, 200], [2, 80], [1, 100], [1, 10], [1, 800], [1, 725], [2, 200], [2, 500], [2, 80], [1, 350], [2, 50], [2, 500], [1, 650], [2, 350], [1, 200], [1, 350], [2, 200], [2, 500], [2, 425], [1, 80], [1, 500], [2, 40], [2, 40], [1, 650], [1, 40], [1, 30], [1, 10], [1, 40], [1, 500], [1, 500], [2, 10], [2, 350], [1, 60], [2, 575]];5734.079766682962;5869.715220529048;[47, 3, 42, 41, 43, 5, 20, 19, 4, 38, 36, 1, 49, 11, 44, 16, 39, 27, 15, 25, 18, 23, 33, 17, 12, 31, 26, 29, 32, 46, 45, 9, 22, 37, 40, 6, 10, 30, 48, 7, 21, 8, 35, 28, 13, 34, 24, 50, 2, 14];4567;76;260;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.8;true
7;1.5;50;0.5;0.5;2;0;11;100000;[[2, 100], [2, 800], [1, 90], [1, 10], [1, 10], [2, 800], [1, 875], [1, 90], [2, 80], [2, 40], [1, 425], [2, 80], [2, 650], [1, 90], [2, 650], [1, 40], [1, 40], [2, 350], [2, 40], [1, 875], [1, 350], [1, 875], [2, 350], [1, 60], [1, 10], [1, 875], [1, 50], [1, 500], [1, 10], [1, 80], [1, 40], [2, 10], [1, 20], [1, 40], [1, 650], [2, 875], [2, 50], [2, 725], [1, 350], [2, 30], [2, 575], [2, 875], [2, 350], [2, 650], [2, 800], [1, 275], [1, 200], [1, 575], [1, 425], [2, 875]];9414.891311733865;9543.40235437781;[32, 40, 5, 34, 25, 33, 17, 4, 24, 14, 16, 29, 8, 3, 47, 30, 31, 10, 19, 37, 9, 27, 12, 1, 39, 28, 21, 11, 48, 46, 35, 49, 43, 23, 18, 7, 20, 22, 26, 41, 44, 15, 13, 38, 6, 2, 45, 42, 36, 50];14478;233;243;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.2;true
8;1.5;50;0.5;0.5;2;0;11;100000;[[2, 100], [2, 800], [1, 90], [1, 10], [1, 10], [2, 800], [1, 875], [1, 90], [2, 80], [2, 40], [1, 425], [2, 80], [2, 650], [1, 90], [2, 650], [1, 40], [1, 40], [2, 350], [2, 40], [1, 875], [1, 350], [1, 875], [2, 350], [1, 60], [1, 10], [1, 875], [1, 50], [1, 500], [1, 10], [1, 80], [1, 40], [2, 10], [1, 20], [1, 40], [1, 650], [2, 875], [2, 50], [2, 725], [1, 350], [2, 30], [2, 575], [2, 875], [2, 350], [2, 650], [2, 800], [1, 275], [1, 200], [1, 575], [1, 425], [2, 875]];9414.891311733865;9547.791954456252;[27, 25, 32, 24, 34, 3, 31, 14, 30, 16, 17, 40, 5, 19, 10, 29, 37, 33, 12, 1, 47, 46, 8, 4, 21, 9, 48, 49, 39, 35, 28, 11, 43, 23, 18, 20, 26, 7, 22, 41, 44, 13, 15, 38, 6, 2, 45, 50, 36, 42];1735;32;259;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.5;true
9;1.5;50;0.5;0.5;2;0;11;100000;[[2, 100], [2, 800], [1, 90], [1, 10], [1, 10], [2, 800], [1, 875], [1, 90], [2, 80], [2, 40], [1, 425], [2, 80], [2, 650], [1, 90], [2, 650], [1, 40], [1, 40], [2, 350], [2, 40], [1, 875], [1, 350], [1, 875], [2, 350], [1, 60], [1, 10], [1, 875], [1, 50], [1, 500], [1, 10], [1, 80], [1, 40], [2, 10], [1, 20], [1, 40], [1, 650], [2, 875], [2, 50], [2, 725], [1, 350], [2, 30], [2, 575], [2, 875], [2, 350], [2, 650], [2, 800], [1, 275], [1, 200], [1, 575], [1, 425], [2, 875]];9414.891311733865;9551.836553128314;[34, 27, 32, 8, 4, 25, 33, 40, 5, 16, 10, 47, 17, 30, 24, 29, 14, 3, 19, 37, 12, 9, 31, 1, 21, 11, 46, 48, 39, 28, 49, 35, 43, 18, 23, 7, 22, 26, 20, 41, 44, 15, 13, 38, 45, 6, 2, 36, 50, 42];7146;119;249;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.8;true
10;1.5;50;0.5;0.5;3;0;11;100000;[[1, 425], [2, 40], [1, 575], [2, 275], [1, 20], [1, 30], [2, 575], [1, 100], [2, 650], [1, 100], [1, 875], [2, 575], [2, 100], [2, 60], [2, 60], [1, 875], [1, 30], [2, 20], [2, 500], [1, 20], [1, 650], [1, 60], [1, 100], [2, 650], [2, 875], [2, 650], [1, 100], [1, 500], [1, 200], [2, 50], [1, 875], [2, 10], [1, 10], [1, 70], [2, 275], [1, 800], [2, 200], [1, 50], [2, 800], [1, 100], [1, 200], [2, 200], [1, 60], [1, 800], [1, 60], [2, 500], [1, 650], [1, 10], [2, 90], [1, 30]];5295.7232419241855;5403.646326138121;[33, 20, 48, 32, 18, 2, 6, 22, 17, 10, 41, 50, 38, 5, 43, 23, 40, 45, 34, 27, 29, 8, 30, 14, 15, 49, 13, 37, 42, 35, 4, 28, 1, 47, 3, 44, 11, 36, 31, 21, 16, 46, 19, 12, 7, 9, 24, 26, 39, 25];9676;154;249;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.2;true
