id;alpha;jobs_count;single;small;example_number;blocks;series_name;energy;jobs;lower_bound;solution;permutation;iteration_solution_found;time_solution_found;total_ga_time;iterations_count;population_size;elites_count;random_initial_population_probability;best_random_population_size;selection_type;crossover_probability;crossover_type;mutation_probability;mutation_type;mutation_window;lambda;include_zero
1;1.5;50;0.5;0.5;0;0;11;100000;[[2, 90], [2, 575], [1, 875], [2, 425], [2, 650], [2, 200], [2, 575], [2, 875], [1, 725], [1, 350], [2, 275], [2, 20], [2, 575], [2, 30], [2, 80], [2, 725], [1, 500], [1, 875], [2, 40], [2, 70], [2, 275], [2, 100], [1, 30], [2, 50], [2, 50], [1, 725], [2, 725], [1, 200], [1, 40], [2, 90], [1, 500], [1, 10], [1, 40], [1, 50], [2, 875], [2, 275], [2, 60], [2, 90], [2, 90], [1, 200], [2, 350], [1, 575], [1, 70], [2, 30], [1, 800], [2, 10], [1, 500], [2, 20], [2, 80], [2, 30]];6414.9575597616995;6528.481986084869;[46, 12, 48, 23, 32, 29, 33, 43, 34, 14, 50, 44, 19, 25, 24, 37, 20, 15, 49, 1, 39, 38, 30, 22, 6, 42, 28, 31, 10, 26, 17, 40, 47, 11, 21, 36, 41, 45, 9, 18, 3, 4, 2, 7, 13, 5, 16, 27, 35, 8];10784;219;311;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.2;true
2;1.5;50;0.5;0.5;0;0;11;100000;[[2, 90], [2, 575], [1, 875], [2, 425], [2, 650], [2, 200], [2, 575], [2, 875], [1, 725], [1, 350], [2, 275], [2, 20], [2, 575], [2, 30], [2, 80], [2, 725], [1, 500], [1, 875], [2, 40], [2, 70], [2, 275], [2, 100], [1, 30], [2, 50], [2, 50], [1, 725], [2, 725], [1, 200], [1, 40], [2, 90], [1, 500], [1, 10], [1, 40], [1, 50], [2, 875], [2, 275], [2, 60], [2, 90], [2, 90], [1, 200], [2, 350], [1, 575], [1, 70], [2, 30], [1, 800], [2, 10], [1, 500], [2, 20], [2, 80], [2, 30]];6414.9575597616995;6526.584892766579;[46, 48, 12, 23, 29, 43, 33, 32, 34, 44, 14, 19, 50, 25, 24, 37, 20, 15, 49, 30, 38, 1, 39, 40, 28, 22, 6, 10, 17, 31, 45, 47, 42, 11, 21, 36, 41, 9, 26, 18, 3, 4, 13, 2, 7, 5, 16, 27, 8, 35];15032;308;310;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.5;true
3;1.5;50;0.5;0.5;0;0;11;100000;[[2, 90], [2, 575], [1, 875], [2, 425], [2, 650], [2, 200], [2, 575], [2, 875], [1, 725], [1, 350], [2, 275], [2, 20], [2, 575], [2, 30], [2, 80], [2, 725], [1, 500], [1, 875], [2, 40], [2, 70], [2, 275], [2, 100], [1, 30], [2, 50], [2, 50], [1, 725], [2, 725], [1, 200], [1, 40], [2, 90], [1, 500], [1, 10], [1, 40], [1, 50], [2, 875], [2, 275], [2, 60], [2, 90], [2, 90], [1, 200], [2, 350], [1, 575], [1, 70], [2, 30], [1, 800], [2, 10], [1, 500], [2, 20], [2, 80], [2, 30]];6414.9575597616995;6521.623176689093;[46, 23, 29, 33, 32, 43, 34, 12, 48, 44, 50, 14, 19, 24, 25, 37, 20, 49, 15, 1, 38, 39, 30, 22, 6, 28, 10, 40, 17, 47, 42, 31, 9, 36, 21, 11, 41, 45, 18, 3, 26, 4, 13, 2, 7, 5, 27, 16, 8, 35];4863;98;299;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.8;true
4;1.5;50;0.5;0.5;1;0;11;100000;[[1, 80], [2, 575], [2, 10], [2, 30], [2, 20], [1, 650], [1, 875], [2, 425], [1, 350], [1, 875], [1, 40], [1, 500], [2, 500], [2, 875], [2, 70], [1, 90], [2, 200], [2, 80], [1, 100], [1, 10], [1, 800], [1, 725], [2, 200], [2, 500], [2, 80], [1, 350], [2, 50], [2, 500], [1, 650], [2, 350], [1, 200], [1, 350], [2, 200], [2, 500], [2, 425], [1, 80], [1, 500], [2, 40], [2, 40], [1, 650], [1, 40], [1, 30], [1, 10], [1, 40], [1, 500], [1, 500], [2, 10], [2, 350], [1, 60], [2, 575]];5734.079766682962;5859.536200426182;[20, 43, 3, 47, 5, 11, 42, 49, 4, 44, 41, 36, 1, 39, 38, 31, 19, 27, 15, 16, 18, 25, 17, 23, 33, 26, 9, 46, 40, 12, 45, 32, 6, 37, 29, 22, 7, 30, 48, 10, 21, 8, 35, 24, 13, 28, 34, 50, 2, 14];7115;133;272;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.2;true
5;1.5;50;0.5;0.5;1;0;11;100000;[[1, 80], [2, 575], [2, 10], [2, 30], [2, 20], [1, 650], [1, 875], [2, 425], [1, 350], [1, 875], [1, 40], [1, 500], [2, 500], [2, 875], [2, 70], [1, 90], [2, 200], [2, 80], [1, 100], [1, 10], [1, 800], [1, 725], [2, 200], [2, 500], [2, 80], [1, 350], [2, 50], [2, 500], [1, 650], [2, 350], [1, 200], [1, 350], [2, 200], [2, 500], [2, 425], [1, 80], [1, 500], [2, 40], [2, 40], [1, 650], [1, 40], [1, 30], [1, 10], [1, 40], [1, 500], [1, 500], [2, 10], [2, 350], [1, 60], [2, 575]];5734.079766682962;5862.186579729009;[3, 47, 20, 41, 42, 1, 49, 5, 4, 36, 16, 44, 11, 43, 39, 38, 27, 15, 18, 25, 26, 19, 31, 37, 32, 9, 33, 17, 23, 29, 12, 46, 45, 6, 40, 21, 7, 22, 10, 30, 48, 8, 35, 24, 28, 34, 13, 50, 2, 14];6422;114;274;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.5;true
6;1.5;50;0.5;0.5;1;0;11;100000;[[1, 80], [2, 575], [2, 10], [2, 30], [2, 20], [1, 650], [1, 875], [2, 425], [1, 350], [1, 875], [1, 40], [1, 500], [2, 500], [2, 875], [2, 70], [1, 90], [2, 200], [2, 80], [1, 100], [1, 10], [1, 800], [1, 725], [2, 200], [2, 500], [2, 80], [1, 350], [2, 50], [2, 500], [1, 650], [2, 350], [1, 200], [1, 350], [2, 200], [2, 500], [2, 425], [1, 80], [1, 500], [2, 40], [2, 40], [1, 650], [1, 40], [1, 30], [1, 10], [1, 40], [1, 500], [1, 500], [2, 10], [2, 350], [1, 60], [2, 575]];5734.079766682962;5853.473050746169;[3, 47, 16, 41, 20, 44, 49, 5, 1, 11, 4, 38, 39, 27, 15, 31, 43, 42, 36, 19, 25, 18, 33, 17, 23, 32, 45, 9, 46, 37, 29, 26, 12, 30, 48, 6, 40, 21, 22, 7, 10, 8, 35, 34, 13, 28, 24, 50, 2, 14];7660;134;273;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.8;true
7;1.5;50;0.5;0.5;2;0;11;100000;[[2, 100], [2, 800], [1, 90], [1, 10], [1, 10], [2, 800], [1, 875], [1, 90], [2, 80], [2, 40], [1, 425], [2, 80], [2, 650], [1, 90], [2, 650], [1, 40], [1, 40], [2, 350], [2, 40], [1, 875], [1, 350], [1, 875], [2, 350], [1, 60], [1, 10], [1, 875], [1, 50], [1, 500], [1, 10], [1, 80], [1, 40], [2, 10], [1, 20], [1, 40], [1, 650], [2, 875], [2, 50], [2, 725], [1, 350], [2, 30], [2, 575], [2, 875], [2, 350], [2, 650], [2, 800], [1, 275], [1, 200], [1, 575], [1, 425], [2, 875]];9414.891311733865;9554.066923893199;[32, 31, 24, 27, 4, 29, 16, 8, 33, 25, 40, 19, 5, 17, 14, 47, 3, 10, 37, 12, 9, 46, 21, 30, 34, 1, 49, 28, 11, 39, 48, 35, 43, 18, 23, 20, 26, 7, 22, 41, 13, 44, 15, 38, 45, 2, 6, 36, 50, 42];8693;145;263;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.2;true
8;1.5;50;0.5;0.5;2;0;11;100000;[[2, 100], [2, 800], [1, 90], [1, 10], [1, 10], [2, 800], [1, 875], [1, 90], [2, 80], [2, 40], [1, 425], [2, 80], [2, 650], [1, 90], [2, 650], [1, 40], [1, 40], [2, 350], [2, 40], [1, 875], [1, 350], [1, 875], [2, 350], [1, 60], [1, 10], [1, 875], [1, 50], [1, 500], [1, 10], [1, 80], [1, 40], [2, 10], [1, 20], [1, 40], [1, 650], [2, 875], [2, 50], [2, 725], [1, 350], [2, 30], [2, 575], [2, 875], [2, 350], [2, 650], [2, 800], [1, 275], [1, 200], [1, 575], [1, 425], [2, 875]];9414.891311733865;9533.2154279597;[32, 25, 5, 4, 31, 16, 33, 24, 17, 29, 40, 27, 34, 3, 30, 10, 19, 37, 47, 14, 12, 9, 1, 21, 49, 8, 48, 11, 39, 46, 28, 35, 43, 23, 18, 7, 22, 26, 20, 41, 44, 15, 13, 38, 45, 2, 6, 36, 50, 42];7209;113;245;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.5;true
9;1.5;50;0.5;0.5;2;0;11;100000;[[2, 100], [2, 800], [1, 90], [1, 10], [1, 10], [2, 800], [1, 875], [1, 90], [2, 80], [2, 40], [1, 425], [2, 80], [2, 650], [1, 90], [2, 650], [1, 40], [1, 40], [2, 350], [2, 40], [1, 875], [1, 350], [1, 875], [2, 350], [1, 60], [1, 10], [1, 875], [1, 50], [1, 500], [1, 10], [1, 80], [1, 40], [2, 10], [1, 20], [1, 40], [1, 650], [2, 875], [2, 50], [2, 725], [1, 350], [2, 30], [2, 575], [2, 875], [2, 350], [2, 650], [2, 800], [1, 275], [1, 200], [1, 575], [1, 425], [2, 875]];9414.891311733865;9546.411201106224;[32, 30, 5, 25, 16, 33, 31, 29, 4, 27, 34, 19, 10, 40, 24, 47, 17, 37, 3, 8, 14, 9, 12, 1, 39, 49, 28, 35, 48, 46, 11, 21, 23, 43, 18, 7, 26, 20, 22, 41, 15, 13, 44, 38, 45, 6, 2, 50, 42, 36];12230;204;256;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.8;true
10;1.5;50;0.5;0.5;3;0;11;100000;[[1, 425], [2, 40], [1, 575], [2, 275], [1, 20], [1, 30], [2, 575], [1, 100], [2, 650], [1, 100], [1, 875], [2, 575], [2, 100], [2, 60], [2, 60], [1, 875], [1, 30], [2, 20], [2, 500], [1, 20], [1, 650], [1, 60], [1, 100], [2, 650], [2, 875], [2, 650], [1, 100], [1, 500], [1, 200], [2, 50], [1, 875], [2, 10], [1, 10], [1, 70], [2, 275], [1, 800], [2, 200], [1, 50], [2, 800], [1, 100], [1, 200], [2, 200], [1, 60], [1, 800], [1, 60], [2, 500], [1, 650], [1, 10], [2, 90], [1, 30]];5295.7232419241855;5400.184071519954;[32, 18, 43, 40, 17, 6, 50, 33, 5, 34, 48, 23, 22, 38, 45, 10, 2, 8, 27, 30, 14, 20, 15, 49, 41, 29, 13, 42, 37, 35, 4, 28, 47, 1, 44, 3, 21, 31, 11, 36, 16, 46, 19, 12, 7, 24, 9, 26, 39, 25];8432;156;270;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.2;true
