id;alpha;jobs_count;single;small;example_number;blocks;series_name;energy;jobs;lower_bound;solution;permutation;iteration_solution_found;time_solution_found;total_ga_time;iterations_count;population_size;elites_count;random_initial_population_probability;best_random_population_size;selection_type;crossover_probability;crossover_type;mutation_probability;mutation_type;mutation_window;lambda;include_zero
1;1.5;50;0.5;0.5;0;0;11;100000;[[2, 90], [2, 575], [1, 875], [2, 425], [2, 650], [2, 200], [2, 575], [2, 875], [1, 725], [1, 350], [2, 275], [2, 20], [2, 575], [2, 30], [2, 80], [2, 725], [1, 500], [1, 875], [2, 40], [2, 70], [2, 275], [2, 100], [1, 30], [2, 50], [2, 50], [1, 725], [2, 725], [1, 200], [1, 40], [2, 90], [1, 500], [1, 10], [1, 40], [1, 50], [2, 875], [2, 275], [2, 60], [2, 90], [2, 90], [1, 200], [2, 350], [1, 575], [1, 70], [2, 30], [1, 800], [2, 10], [1, 500], [2, 20], [2, 80], [2, 30]];6414.9575597616995;6518.492502054437;[46, 48, 12, 29, 33, 34, 43, 23, 32, 50, 14, 44, 6, 19, 24, 25, 37, 20, 49, 15, 38, 39, 1, 30, 28, 40, 22, 17, 10, 31, 42, 9, 47, 21, 11, 36, 41, 45, 26, 18, 3, 4, 2, 7, 13, 5, 27, 16, 35, 8];9505;355;541;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.2;true
2;1.5;50;0.5;0.5;0;0;11;100000;[[2, 90], [2, 575], [1, 875], [2, 425], [2, 650], [2, 200], [2, 575], [2, 875], [1, 725], [1, 350], [2, 275], [2, 20], [2, 575], [2, 30], [2, 80], [2, 725], [1, 500], [1, 875], [2, 40], [2, 70], [2, 275], [2, 100], [1, 30], [2, 50], [2, 50], [1, 725], [2, 725], [1, 200], [1, 40], [2, 90], [1, 500], [1, 10], [1, 40], [1, 50], [2, 875], [2, 275], [2, 60], [2, 90], [2, 90], [1, 200], [2, 350], [1, 575], [1, 70], [2, 30], [1, 800], [2, 10], [1, 500], [2, 20], [2, 80], [2, 30]];6414.9575597616995;6518.579570459277;[46, 34, 43, 23, 32, 33, 29, 6, 12, 48, 50, 14, 44, 19, 25, 24, 37, 20, 49, 15, 1, 38, 30, 39, 40, 28, 22, 47, 10, 17, 42, 9, 31, 21, 11, 36, 41, 45, 26, 3, 18, 4, 2, 13, 7, 5, 27, 16, 8, 35];5034;177;536;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.5;true
3;1.5;50;0.5;0.5;0;0;11;100000;[[2, 90], [2, 575], [1, 875], [2, 425], [2, 650], [2, 200], [2, 575], [2, 875], [1, 725], [1, 350], [2, 275], [2, 20], [2, 575], [2, 30], [2, 80], [2, 725], [1, 500], [1, 875], [2, 40], [2, 70], [2, 275], [2, 100], [1, 30], [2, 50], [2, 50], [1, 725], [2, 725], [1, 200], [1, 40], [2, 90], [1, 500], [1, 10], [1, 40], [1, 50], [2, 875], [2, 275], [2, 60], [2, 90], [2, 90], [1, 200], [2, 350], [1, 575], [1, 70], [2, 30], [1, 800], [2, 10], [1, 500], [2, 20], [2, 80], [2, 30]];6414.9575597616995;6534.505294779336;[46, 48, 12, 29, 32, 33, 23, 34, 43, 44, 50, 14, 19, 24, 25, 37, 20, 49, 45, 15, 39, 30, 1, 38, 28, 40, 22, 6, 26, 10, 31, 47, 21, 11, 36, 41, 42, 17, 9, 3, 18, 4, 2, 13, 7, 5, 16, 27, 35, 8];4537;164;516;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.8;true
4;1.5;50;0.5;0.5;1;0;11;100000;[[1, 80], [2, 575], [2, 10], [2, 30], [2, 20], [1, 650], [1, 875], [2, 425], [1, 350], [1, 875], [1, 40], [1, 500], [2, 500], [2, 875], [2, 70], [1, 90], [2, 200], [2, 80], [1, 100], [1, 10], [1, 800], [1, 725], [2, 200], [2, 500], [2, 80], [1, 350], [2, 50], [2, 500], [1, 650], [2, 350], [1, 200], [1, 350], [2, 200], [2, 500], [2, 425], [1, 80], [1, 500], [2, 40], [2, 40], [1, 650], [1, 40], [1, 30], [1, 10], [1, 40], [1, 500], [1, 500], [2, 10], [2, 350], [1, 60], [2, 575]];5734.079766682962;5851.197180407134;[47, 3, 11, 32, 42, 20, 41, 5, 4, 36, 49, 44, 16, 38, 39, 27, 19, 31, 15, 18, 25, 43, 33, 23, 17, 9, 45, 1, 46, 6, 37, 12, 26, 30, 48, 40, 29, 21, 22, 7, 10, 35, 8, 28, 34, 13, 24, 50, 2, 14];2610;90;476;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.2;true
5;1.5;50;0.5;0.5;1;0;11;100000;[[1, 80], [2, 575], [2, 10], [2, 30], [2, 20], [1, 650], [1, 875], [2, 425], [1, 350], [1, 875], [1, 40], [1, 500], [2, 500], [2, 875], [2, 70], [1, 90], [2, 200], [2, 80], [1, 100], [1, 10], [1, 800], [1, 725], [2, 200], [2, 500], [2, 80], [1, 350], [2, 50], [2, 500], [1, 650], [2, 350], [1, 200], [1, 350], [2, 200], [2, 500], [2, 425], [1, 80], [1, 500], [2, 40], [2, 40], [1, 650], [1, 40], [1, 30], [1, 10], [1, 40], [1, 500], [1, 500], [2, 10], [2, 350], [1, 60], [2, 575]];5734.079766682962;5864.029046583301;[47, 3, 5, 42, 20, 41, 1, 36, 43, 49, 44, 11, 19, 4, 38, 39, 27, 15, 25, 18, 32, 16, 26, 45, 9, 31, 23, 17, 33, 12, 6, 46, 7, 37, 29, 40, 22, 21, 10, 48, 30, 8, 35, 24, 13, 28, 34, 2, 50, 14];4325;142;474;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.5;true
6;1.5;50;0.5;0.5;1;0;11;100000;[[1, 80], [2, 575], [2, 10], [2, 30], [2, 20], [1, 650], [1, 875], [2, 425], [1, 350], [1, 875], [1, 40], [1, 500], [2, 500], [2, 875], [2, 70], [1, 90], [2, 200], [2, 80], [1, 100], [1, 10], [1, 800], [1, 725], [2, 200], [2, 500], [2, 80], [1, 350], [2, 50], [2, 500], [1, 650], [2, 350], [1, 200], [1, 350], [2, 200], [2, 500], [2, 425], [1, 80], [1, 500], [2, 40], [2, 40], [1, 650], [1, 40], [1, 30], [1, 10], [1, 40], [1, 500], [1, 500], [2, 10], [2, 350], [1, 60], [2, 575]];5734.079766682962;5859.908663237394;[3, 47, 44, 42, 20, 43, 49, 5, 41, 11, 1, 36, 4, 38, 15, 27, 19, 31, 18, 25, 17, 23, 16, 33, 45, 32, 26, 37, 12, 6, 9, 46, 29, 21, 48, 39, 30, 22, 10, 7, 40, 8, 35, 28, 34, 13, 24, 2, 50, 14];828;29;460;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.8;true
7;1.5;50;0.5;0.5;2;0;11;100000;[[2, 100], [2, 800], [1, 90], [1, 10], [1, 10], [2, 800], [1, 875], [1, 90], [2, 80], [2, 40], [1, 425], [2, 80], [2, 650], [1, 90], [2, 650], [1, 40], [1, 40], [2, 350], [2, 40], [1, 875], [1, 350], [1, 875], [2, 350], [1, 60], [1, 10], [1, 875], [1, 50], [1, 500], [1, 10], [1, 80], [1, 40], [2, 10], [1, 20], [1, 40], [1, 650], [2, 875], [2, 50], [2, 725], [1, 350], [2, 30], [2, 575], [2, 875], [2, 350], [2, 650], [2, 800], [1, 275], [1, 200], [1, 575], [1, 425], [2, 875]];9414.891311733865;9582.096326670517;[32, 29, 33, 25, 5, 34, 27, 17, 4, 8, 16, 24, 31, 40, 10, 19, 14, 30, 37, 9, 12, 47, 39, 28, 1, 3, 49, 11, 7, 35, 46, 21, 48, 20, 18, 23, 43, 26, 22, 41, 44, 13, 15, 38, 45, 6, 2, 50, 42, 36];13786;406;448;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.2;true
8;1.5;50;0.5;0.5;2;0;11;100000;[[2, 100], [2, 800], [1, 90], [1, 10], [1, 10], [2, 800], [1, 875], [1, 90], [2, 80], [2, 40], [1, 425], [2, 80], [2, 650], [1, 90], [2, 650], [1, 40], [1, 40], [2, 350], [2, 40], [1, 875], [1, 350], [1, 875], [2, 350], [1, 60], [1, 10], [1, 875], [1, 50], [1, 500], [1, 10], [1, 80], [1, 40], [2, 10], [1, 20], [1, 40], [1, 650], [2, 875], [2, 50], [2, 725], [1, 350], [2, 30], [2, 575], [2, 875], [2, 350], [2, 650], [2, 800], [1, 275], [1, 200], [1, 575], [1, 425], [2, 875]];9414.891311733865;9535.996404193238;[32, 5, 33, 25, 29, 16, 24, 30, 31, 27, 17, 3, 4, 8, 40, 34, 19, 37, 9, 12, 1, 47, 39, 49, 14, 28, 48, 21, 46, 11, 35, 43, 23, 18, 20, 22, 26, 7, 41, 44, 15, 13, 38, 6, 2, 45, 42, 36, 50, 10];9552;275;465;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.5;true
9;1.5;50;0.5;0.5;2;0;11;100000;[[2, 100], [2, 800], [1, 90], [1, 10], [1, 10], [2, 800], [1, 875], [1, 90], [2, 80], [2, 40], [1, 425], [2, 80], [2, 650], [1, 90], [2, 650], [1, 40], [1, 40], [2, 350], [2, 40], [1, 875], [1, 350], [1, 875], [2, 350], [1, 60], [1, 10], [1, 875], [1, 50], [1, 500], [1, 10], [1, 80], [1, 40], [2, 10], [1, 20], [1, 40], [1, 650], [2, 875], [2, 50], [2, 725], [1, 350], [2, 30], [2, 575], [2, 875], [2, 350], [2, 650], [2, 800], [1, 275], [1, 200], [1, 575], [1, 425], [2, 875]];9414.891311733865;9536.24532703241;[32, 29, 25, 34, 31, 24, 4, 16, 27, 3, 17, 30, 33, 40, 19, 10, 37, 47, 12, 9, 1, 39, 49, 8, 5, 28, 21, 46, 35, 14, 48, 11, 18, 23, 43, 7, 26, 22, 20, 41, 44, 13, 15, 38, 2, 6, 45, 42, 36, 50];2972;96;443;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.8;true
10;1.5;50;0.5;0.5;3;0;11;100000;[[1, 425], [2, 40], [1, 575], [2, 275], [1, 20], [1, 30], [2, 575], [1, 100], [2, 650], [1, 100], [1, 875], [2, 575], [2, 100], [2, 60], [2, 60], [1, 875], [1, 30], [2, 20], [2, 500], [1, 20], [1, 650], [1, 60], [1, 100], [2, 650], [2, 875], [2, 650], [1, 100], [1, 500], [1, 200], [2, 50], [1, 875], [2, 10], [1, 10], [1, 70], [2, 275], [1, 800], [2, 200], [1, 50], [2, 800], [1, 100], [1, 200], [2, 200], [1, 60], [1, 800], [1, 60], [2, 500], [1, 650], [1, 10], [2, 90], [1, 30]];5295.7232419241855;5395.342308825246;[32, 18, 5, 33, 50, 17, 6, 22, 48, 38, 34, 45, 8, 43, 2, 30, 14, 15, 40, 23, 29, 41, 27, 10, 49, 13, 42, 37, 4, 35, 28, 1, 20, 21, 3, 36, 11, 44, 31, 47, 16, 46, 19, 7, 12, 26, 24, 9, 39, 25];11404;342;449;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.2;true
