id;alpha;jobs_count;single;small;example_number;blocks;series_name;energy;jobs;lower_bound;solution;permutation;iteration_solution_found;time_solution_found;total_ga_time;iterations_count;population_size;elites_count;random_initial_population_probability;best_random_population_size;selection_type;tourney_size;crossover_probability;crossover_type;mutation_probability;mutation_type;mutation_window
1;1.5;50;0.5;0.5;0;0;11;100000;[[2, 90], [2, 575], [1, 875], [2, 425], [2, 650], [2, 200], [2, 575], [2, 875], [1, 725], [1, 350], [2, 275], [2, 20], [2, 575], [2, 30], [2, 80], [2, 725], [1, 500], [1, 875], [2, 40], [2, 70], [2, 275], [2, 100], [1, 30], [2, 50], [2, 50], [1, 725], [2, 725], [1, 200], [1, 40], [2, 90], [1, 500], [1, 10], [1, 40], [1, 50], [2, 875], [2, 275], [2, 60], [2, 90], [2, 90], [1, 200], [2, 350], [1, 575], [1, 70], [2, 30], [1, 800], [2, 10], [1, 500], [2, 20], [2, 80], [2, 30]];6414.9575597616995;6523.856658319015;[46, 12, 48, 23, 32, 33, 29, 43, 34, 44, 14, 50, 19, 25, 24, 37, 20, 15, 49, 39, 1, 30, 38, 28, 40, 22, 6, 31, 10, 47, 42, 9, 17, 11, 36, 21, 41, 3, 26, 45, 18, 4, 13, 7, 2, 5, 27, 16, 35, 8];8677;250;291;10000;200;0;0.2;10;RANKING;-1;0.8;OPX;0.2;SHIFT;-1
2;1.5;50;0.5;0.5;0;0;11;100000;[[2, 90], [2, 575], [1, 875], [2, 425], [2, 650], [2, 200], [2, 575], [2, 875], [1, 725], [1, 350], [2, 275], [2, 20], [2, 575], [2, 30], [2, 80], [2, 725], [1, 500], [1, 875], [2, 40], [2, 70], [2, 275], [2, 100], [1, 30], [2, 50], [2, 50], [1, 725], [2, 725], [1, 200], [1, 40], [2, 90], [1, 500], [1, 10], [1, 40], [1, 50], [2, 875], [2, 275], [2, 60], [2, 90], [2, 90], [1, 200], [2, 350], [1, 575], [1, 70], [2, 30], [1, 800], [2, 10], [1, 500], [2, 20], [2, 80], [2, 30]];6414.9575597616995;6524.809110743583;[46, 48, 12, 33, 34, 23, 32, 43, 29, 50, 14, 44, 19, 25, 24, 37, 20, 49, 15, 39, 30, 38, 1, 22, 47, 17, 40, 28, 10, 31, 6, 36, 11, 21, 41, 26, 42, 45, 3, 9, 18, 4, 7, 2, 13, 5, 16, 27, 35, 8];6982;173;248;10000;200;0;0.5;10;RANKING;-1;0.8;OPX;0.2;SHIFT;-1
3;1.5;50;0.5;0.5;0;0;11;100000;[[2, 90], [2, 575], [1, 875], [2, 425], [2, 650], [2, 200], [2, 575], [2, 875], [1, 725], [1, 350], [2, 275], [2, 20], [2, 575], [2, 30], [2, 80], [2, 725], [1, 500], [1, 875], [2, 40], [2, 70], [2, 275], [2, 100], [1, 30], [2, 50], [2, 50], [1, 725], [2, 725], [1, 200], [1, 40], [2, 90], [1, 500], [1, 10], [1, 40], [1, 50], [2, 875], [2, 275], [2, 60], [2, 90], [2, 90], [1, 200], [2, 350], [1, 575], [1, 70], [2, 30], [1, 800], [2, 10], [1, 500], [2, 20], [2, 80], [2, 30]];6414.9575597616995;6518.579570459277;[46, 34, 43, 23, 32, 29, 33, 48, 12, 14, 50, 44, 19, 24, 25, 37, 20, 15, 49, 38, 21, 39, 1, 30, 40, 28, 22, 6, 47, 10, 31, 42, 26, 17, 11, 36, 41, 45, 9, 3, 18, 4, 7, 13, 2, 5, 16, 27, 8, 35];2838;93;319;10000;200;2;0.2;10;RANKING;-1;0.8;OPX;0.2;SHIFT;-1
4;1.5;50;0.5;0.5;0;0;11;100000;[[2, 90], [2, 575], [1, 875], [2, 425], [2, 650], [2, 200], [2, 575], [2, 875], [1, 725], [1, 350], [2, 275], [2, 20], [2, 575], [2, 30], [2, 80], [2, 725], [1, 500], [1, 875], [2, 40], [2, 70], [2, 275], [2, 100], [1, 30], [2, 50], [2, 50], [1, 725], [2, 725], [1, 200], [1, 40], [2, 90], [1, 500], [1, 10], [1, 40], [1, 50], [2, 875], [2, 275], [2, 60], [2, 90], [2, 90], [1, 200], [2, 350], [1, 575], [1, 70], [2, 30], [1, 800], [2, 10], [1, 500], [2, 20], [2, 80], [2, 30]];6414.9575597616995;6525.263666787354;[46, 33, 34, 32, 12, 48, 23, 43, 28, 29, 50, 44, 14, 19, 24, 25, 37, 20, 15, 49, 38, 30, 39, 1, 40, 22, 6, 31, 47, 10, 42, 11, 21, 36, 41, 9, 45, 3, 17, 26, 18, 4, 2, 7, 13, 5, 16, 27, 35, 8];9738;246;252;10000;200;2;0.5;10;RANKING;-1;0.8;OPX;0.2;SHIFT;-1
5;1.5;50;0.5;0.5;1;0;11;100000;[[1, 80], [2, 575], [2, 10], [2, 30], [2, 20], [1, 650], [1, 875], [2, 425], [1, 350], [1, 875], [1, 40], [1, 500], [2, 500], [2, 875], [2, 70], [1, 90], [2, 200], [2, 80], [1, 100], [1, 10], [1, 800], [1, 725], [2, 200], [2, 500], [2, 80], [1, 350], [2, 50], [2, 500], [1, 650], [2, 350], [1, 200], [1, 350], [2, 200], [2, 500], [2, 425], [1, 80], [1, 500], [2, 40], [2, 40], [1, 650], [1, 40], [1, 30], [1, 10], [1, 40], [1, 500], [1, 500], [2, 10], [2, 350], [1, 60], [2, 575]];5734.079766682962;5869.291613452286;[3, 47, 19, 43, 5, 4, 1, 20, 49, 41, 11, 42, 16, 39, 38, 27, 15, 25, 18, 36, 31, 32, 44, 26, 9, 45, 17, 33, 23, 37, 6, 12, 29, 40, 46, 21, 7, 22, 10, 48, 30, 35, 8, 24, 13, 34, 28, 2, 50, 14];6352;173;264;10000;200;0;0.2;10;RANKING;-1;0.8;OPX;0.2;SHIFT;-1
6;1.5;50;0.5;0.5;1;0;11;100000;[[1, 80], [2, 575], [2, 10], [2, 30], [2, 20], [1, 650], [1, 875], [2, 425], [1, 350], [1, 875], [1, 40], [1, 500], [2, 500], [2, 875], [2, 70], [1, 90], [2, 200], [2, 80], [1, 100], [1, 10], [1, 800], [1, 725], [2, 200], [2, 500], [2, 80], [1, 350], [2, 50], [2, 500], [1, 650], [2, 350], [1, 200], [1, 350], [2, 200], [2, 500], [2, 425], [1, 80], [1, 500], [2, 40], [2, 40], [1, 650], [1, 40], [1, 30], [1, 10], [1, 40], [1, 500], [1, 500], [2, 10], [2, 350], [1, 60], [2, 575]];5734.079766682962;5856.625540446941;[47, 3, 20, 11, 49, 42, 5, 43, 41, 1, 16, 44, 4, 38, 39, 27, 31, 36, 15, 25, 18, 9, 32, 19, 33, 23, 17, 26, 37, 12, 22, 45, 46, 30, 48, 21, 29, 6, 40, 10, 7, 8, 35, 24, 13, 34, 28, 2, 50, 14];8554;190;223;10000;200;0;0.5;10;RANKING;-1;0.8;OPX;0.2;SHIFT;-1
7;1.5;50;0.5;0.5;1;0;11;100000;[[1, 80], [2, 575], [2, 10], [2, 30], [2, 20], [1, 650], [1, 875], [2, 425], [1, 350], [1, 875], [1, 40], [1, 500], [2, 500], [2, 875], [2, 70], [1, 90], [2, 200], [2, 80], [1, 100], [1, 10], [1, 800], [1, 725], [2, 200], [2, 500], [2, 80], [1, 350], [2, 50], [2, 500], [1, 650], [2, 350], [1, 200], [1, 350], [2, 200], [2, 500], [2, 425], [1, 80], [1, 500], [2, 40], [2, 40], [1, 650], [1, 40], [1, 30], [1, 10], [1, 40], [1, 500], [1, 500], [2, 10], [2, 350], [1, 60], [2, 575]];5734.079766682962;5856.967150923144;[3, 47, 5, 20, 11, 1, 16, 41, 4, 43, 44, 49, 42, 50, 38, 39, 27, 36, 31, 15, 25, 18, 17, 33, 23, 19, 12, 26, 9, 46, 32, 45, 6, 37, 48, 30, 40, 29, 10, 22, 21, 7, 8, 35, 24, 34, 28, 13, 2, 14];10050;281;282;10000;200;2;0.2;10;RANKING;-1;0.8;OPX;0.2;SHIFT;-1
8;1.5;50;0.5;0.5;1;0;11;100000;[[1, 80], [2, 575], [2, 10], [2, 30], [2, 20], [1, 650], [1, 875], [2, 425], [1, 350], [1, 875], [1, 40], [1, 500], [2, 500], [2, 875], [2, 70], [1, 90], [2, 200], [2, 80], [1, 100], [1, 10], [1, 800], [1, 725], [2, 200], [2, 500], [2, 80], [1, 350], [2, 50], [2, 500], [1, 650], [2, 350], [1, 200], [1, 350], [2, 200], [2, 500], [2, 425], [1, 80], [1, 500], [2, 40], [2, 40], [1, 650], [1, 40], [1, 30], [1, 10], [1, 40], [1, 500], [1, 500], [2, 10], [2, 350], [1, 60], [2, 575]];5734.079766682962;5868.0782596792205;[47, 3, 5, 16, 31, 11, 42, 41, 4, 19, 36, 1, 43, 38, 39, 27, 15, 20, 25, 18, 44, 17, 23, 33, 45, 9, 32, 12, 26, 46, 6, 37, 30, 49, 48, 40, 29, 10, 22, 21, 7, 8, 35, 28, 13, 34, 24, 50, 2, 14];9398;212;228;10000;200;2;0.5;10;RANKING;-1;0.8;OPX;0.2;SHIFT;-1
9;1.5;50;0.5;0.5;2;0;11;100000;[[2, 100], [2, 800], [1, 90], [1, 10], [1, 10], [2, 800], [1, 875], [1, 90], [2, 80], [2, 40], [1, 425], [2, 80], [2, 650], [1, 90], [2, 650], [1, 40], [1, 40], [2, 350], [2, 40], [1, 875], [1, 350], [1, 875], [2, 350], [1, 60], [1, 10], [1, 875], [1, 50], [1, 500], [1, 10], [1, 80], [1, 40], [2, 10], [1, 20], [1, 40], [1, 650], [2, 875], [2, 50], [2, 725], [1, 350], [2, 30], [2, 575], [2, 875], [2, 350], [2, 650], [2, 800], [1, 275], [1, 200], [1, 575], [1, 425], [2, 875]];9414.891311733865;9533.583190228657;[32, 31, 17, 29, 27, 25, 24, 33, 4, 34, 16, 40, 19, 10, 37, 8, 30, 5, 3, 47, 12, 14, 9, 1, 11, 39, 46, 28, 21, 48, 49, 35, 43, 23, 18, 22, 20, 26, 7, 41, 13, 44, 15, 38, 6, 2, 45, 42, 36, 50];8158;209;253;10000;200;0;0.2;10;RANKING;-1;0.8;OPX;0.2;SHIFT;-1
10;1.5;50;0.5;0.5;2;0;11;100000;[[2, 100], [2, 800], [1, 90], [1, 10], [1, 10], [2, 800], [1, 875], [1, 90], [2, 80], [2, 40], [1, 425], [2, 80], [2, 650], [1, 90], [2, 650], [1, 40], [1, 40], [2, 350], [2, 40], [1, 875], [1, 350], [1, 875], [2, 350], [1, 60], [1, 10], [1, 875], [1, 50], [1, 500], [1, 10], [1, 80], [1, 40], [2, 10], [1, 20], [1, 40], [1, 650], [2, 875], [2, 50], [2, 725], [1, 350], [2, 30], [2, 575], [2, 875], [2, 350], [2, 650], [2, 800], [1, 275], [1, 200], [1, 575], [1, 425], [2, 875]];9414.891311733865;9534.932455875229;[25, 33, 4, 32, 30, 16, 5, 34, 31, 27, 14, 17, 24, 29, 40, 19, 10, 37, 47, 8, 12, 9, 1, 11, 21, 3, 48, 46, 49, 28, 35, 39, 23, 43, 18, 22, 7, 26, 20, 41, 44, 15, 13, 38, 45, 6, 2, 42, 50, 36];5366;117;211;10000;200;0;0.5;10;RANKING;-1;0.8;OPX;0.2;SHIFT;-1
