id;alpha;jobs_count;single;small;example_number;blocks;series_name;energy;jobs;lower_bound;solution;permutation;iteration_solution_found;time_solution_found;total_ga_time;iterations_count;population_size;elites_count;random_initial_population_probability;best_random_population_size;selection_type;tourney_size;crossover_probability;crossover_type;mutation_probability;mutation_type;mutation_window
1;1.5;50;0.5;0.5;0;0;11;100000;[[2, 90], [2, 575], [1, 875], [2, 425], [2, 650], [2, 200], [2, 575], [2, 875], [1, 725], [1, 350], [2, 275], [2, 20], [2, 575], [2, 30], [2, 80], [2, 725], [1, 500], [1, 875], [2, 40], [2, 70], [2, 275], [2, 100], [1, 30], [2, 50], [2, 50], [1, 725], [2, 725], [1, 200], [1, 40], [2, 90], [1, 500], [1, 10], [1, 40], [1, 50], [2, 875], [2, 275], [2, 60], [2, 90], [2, 90], [1, 200], [2, 350], [1, 575], [1, 70], [2, 30], [1, 800], [2, 10], [1, 500], [2, 20], [2, 80], [2, 30]];6414.9575597616995;6524.826387284367;[46, 48, 12, 23, 32, 29, 33, 43, 34, 50, 14, 44, 19, 25, 24, 37, 20, 15, 49, 30, 1, 39, 38, 28, 40, 22, 6, 31, 47, 42, 36, 11, 21, 41, 9, 45, 3, 17, 26, 18, 4, 7, 13, 2, 5, 16, 27, 10, 8, 35];4864;95;191;10000;100;0;0.2;10;RANKING;-1;0.8;OPX;0.2;SHIFT;-1
2;1.5;50;0.5;0.5;0;0;11;100000;[[2, 90], [2, 575], [1, 875], [2, 425], [2, 650], [2, 200], [2, 575], [2, 875], [1, 725], [1, 350], [2, 275], [2, 20], [2, 575], [2, 30], [2, 80], [2, 725], [1, 500], [1, 875], [2, 40], [2, 70], [2, 275], [2, 100], [1, 30], [2, 50], [2, 50], [1, 725], [2, 725], [1, 200], [1, 40], [2, 90], [1, 500], [1, 10], [1, 40], [1, 50], [2, 875], [2, 275], [2, 60], [2, 90], [2, 90], [1, 200], [2, 350], [1, 575], [1, 70], [2, 30], [1, 800], [2, 10], [1, 500], [2, 20], [2, 80], [2, 30]];6414.9575597616995;6525.570152273655;[46, 34, 32, 48, 12, 29, 33, 43, 50, 14, 44, 19, 24, 25, 37, 20, 15, 49, 23, 30, 38, 1, 39, 22, 6, 28, 10, 40, 31, 17, 42, 47, 9, 11, 21, 36, 41, 45, 26, 3, 18, 4, 13, 7, 2, 5, 27, 16, 8, 35];5241;97;179;10000;100;0;0.2;25;RANKING;-1;0.8;OPX;0.2;SHIFT;-1
3;1.5;50;0.5;0.5;0;0;11;100000;[[2, 90], [2, 575], [1, 875], [2, 425], [2, 650], [2, 200], [2, 575], [2, 875], [1, 725], [1, 350], [2, 275], [2, 20], [2, 575], [2, 30], [2, 80], [2, 725], [1, 500], [1, 875], [2, 40], [2, 70], [2, 275], [2, 100], [1, 30], [2, 50], [2, 50], [1, 725], [2, 725], [1, 200], [1, 40], [2, 90], [1, 500], [1, 10], [1, 40], [1, 50], [2, 875], [2, 275], [2, 60], [2, 90], [2, 90], [1, 200], [2, 350], [1, 575], [1, 70], [2, 30], [1, 800], [2, 10], [1, 500], [2, 20], [2, 80], [2, 30]];6414.9575597616995;6517.8957643912345;[46, 12, 48, 23, 43, 34, 33, 29, 32, 44, 14, 50, 19, 25, 24, 37, 20, 15, 49, 38, 30, 39, 1, 40, 28, 22, 6, 31, 47, 17, 9, 10, 42, 36, 11, 21, 41, 45, 26, 18, 3, 4, 2, 7, 13, 5, 16, 27, 8, 35];3969;64;163;10000;100;0;0.5;10;RANKING;-1;0.8;OPX;0.2;SHIFT;-1
4;1.5;50;0.5;0.5;0;0;11;100000;[[2, 90], [2, 575], [1, 875], [2, 425], [2, 650], [2, 200], [2, 575], [2, 875], [1, 725], [1, 350], [2, 275], [2, 20], [2, 575], [2, 30], [2, 80], [2, 725], [1, 500], [1, 875], [2, 40], [2, 70], [2, 275], [2, 100], [1, 30], [2, 50], [2, 50], [1, 725], [2, 725], [1, 200], [1, 40], [2, 90], [1, 500], [1, 10], [1, 40], [1, 50], [2, 875], [2, 275], [2, 60], [2, 90], [2, 90], [1, 200], [2, 350], [1, 575], [1, 70], [2, 30], [1, 800], [2, 10], [1, 500], [2, 20], [2, 80], [2, 30]];6414.9575597616995;6526.156568093222;[46, 12, 48, 29, 33, 34, 43, 23, 32, 50, 44, 14, 19, 24, 25, 37, 20, 15, 49, 1, 30, 38, 39, 22, 6, 17, 47, 28, 40, 42, 26, 10, 31, 21, 36, 11, 41, 45, 9, 3, 18, 4, 13, 2, 7, 5, 27, 16, 35, 8];9685;187;191;10000;100;0;0.5;25;RANKING;-1;0.8;OPX;0.2;SHIFT;-1
5;1.5;50;0.5;0.5;0;0;11;100000;[[2, 90], [2, 575], [1, 875], [2, 425], [2, 650], [2, 200], [2, 575], [2, 875], [1, 725], [1, 350], [2, 275], [2, 20], [2, 575], [2, 30], [2, 80], [2, 725], [1, 500], [1, 875], [2, 40], [2, 70], [2, 275], [2, 100], [1, 30], [2, 50], [2, 50], [1, 725], [2, 725], [1, 200], [1, 40], [2, 90], [1, 500], [1, 10], [1, 40], [1, 50], [2, 875], [2, 275], [2, 60], [2, 90], [2, 90], [1, 200], [2, 350], [1, 575], [1, 70], [2, 30], [1, 800], [2, 10], [1, 500], [2, 20], [2, 80], [2, 30]];6414.9575597616995;6525.42292385895;[46, 12, 48, 33, 34, 23, 32, 43, 29, 14, 44, 50, 19, 25, 24, 37, 20, 15, 49, 38, 39, 30, 1, 28, 40, 22, 6, 10, 17, 47, 45, 31, 42, 36, 21, 11, 41, 26, 9, 18, 3, 4, 2, 13, 7, 5, 27, 16, 35, 8];6781;116;174;10000;100;0;0.8;10;RANKING;-1;0.8;OPX;0.2;SHIFT;-1
6;1.5;50;0.5;0.5;0;0;11;100000;[[2, 90], [2, 575], [1, 875], [2, 425], [2, 650], [2, 200], [2, 575], [2, 875], [1, 725], [1, 350], [2, 275], [2, 20], [2, 575], [2, 30], [2, 80], [2, 725], [1, 500], [1, 875], [2, 40], [2, 70], [2, 275], [2, 100], [1, 30], [2, 50], [2, 50], [1, 725], [2, 725], [1, 200], [1, 40], [2, 90], [1, 500], [1, 10], [1, 40], [1, 50], [2, 875], [2, 275], [2, 60], [2, 90], [2, 90], [1, 200], [2, 350], [1, 575], [1, 70], [2, 30], [1, 800], [2, 10], [1, 500], [2, 20], [2, 80], [2, 30]];6414.9575597616995;6537.863428153074;[46, 29, 34, 32, 12, 48, 33, 43, 23, 14, 44, 50, 19, 24, 25, 37, 20, 15, 49, 38, 1, 30, 39, 28, 40, 22, 6, 36, 21, 11, 31, 10, 17, 47, 9, 45, 18, 26, 42, 3, 41, 4, 2, 13, 7, 5, 27, 16, 35, 8];8526;90;102;10000;100;0;0.8;25;RANKING;-1;0.8;OPX;0.2;SHIFT;-1
7;1.5;50;0.5;0.5;0;0;11;100000;[[2, 90], [2, 575], [1, 875], [2, 425], [2, 650], [2, 200], [2, 575], [2, 875], [1, 725], [1, 350], [2, 275], [2, 20], [2, 575], [2, 30], [2, 80], [2, 725], [1, 500], [1, 875], [2, 40], [2, 70], [2, 275], [2, 100], [1, 30], [2, 50], [2, 50], [1, 725], [2, 725], [1, 200], [1, 40], [2, 90], [1, 500], [1, 10], [1, 40], [1, 50], [2, 875], [2, 275], [2, 60], [2, 90], [2, 90], [1, 200], [2, 350], [1, 575], [1, 70], [2, 30], [1, 800], [2, 10], [1, 500], [2, 20], [2, 80], [2, 30]];6414.9575597616995;6526.853540588191;[46, 48, 12, 23, 34, 29, 33, 32, 50, 14, 44, 19, 25, 24, 37, 20, 15, 43, 49, 30, 1, 39, 38, 22, 6, 40, 10, 28, 17, 31, 42, 47, 9, 21, 11, 36, 41, 18, 26, 45, 3, 4, 13, 2, 7, 5, 16, 27, 8, 35];7714;97;124;10000;100;2;0.2;10;RANKING;-1;0.8;OPX;0.2;SHIFT;-1
8;1.5;50;0.5;0.5;0;0;11;100000;[[2, 90], [2, 575], [1, 875], [2, 425], [2, 650], [2, 200], [2, 575], [2, 875], [1, 725], [1, 350], [2, 275], [2, 20], [2, 575], [2, 30], [2, 80], [2, 725], [1, 500], [1, 875], [2, 40], [2, 70], [2, 275], [2, 100], [1, 30], [2, 50], [2, 50], [1, 725], [2, 725], [1, 200], [1, 40], [2, 90], [1, 500], [1, 10], [1, 40], [1, 50], [2, 875], [2, 275], [2, 60], [2, 90], [2, 90], [1, 200], [2, 350], [1, 575], [1, 70], [2, 30], [1, 800], [2, 10], [1, 500], [2, 20], [2, 80], [2, 30]];6414.9575597616995;6535.626430585775;[46, 33, 23, 32, 34, 48, 12, 44, 50, 14, 19, 24, 25, 37, 40, 43, 29, 28, 20, 49, 39, 1, 38, 30, 22, 6, 17, 47, 31, 9, 15, 10, 42, 36, 11, 21, 41, 45, 26, 18, 3, 4, 2, 7, 13, 5, 27, 16, 8, 35];7152;87;120;10000;100;2;0.2;25;RANKING;-1;0.8;OPX;0.2;SHIFT;-1
9;1.5;50;0.5;0.5;0;0;11;100000;[[2, 90], [2, 575], [1, 875], [2, 425], [2, 650], [2, 200], [2, 575], [2, 875], [1, 725], [1, 350], [2, 275], [2, 20], [2, 575], [2, 30], [2, 80], [2, 725], [1, 500], [1, 875], [2, 40], [2, 70], [2, 275], [2, 100], [1, 30], [2, 50], [2, 50], [1, 725], [2, 725], [1, 200], [1, 40], [2, 90], [1, 500], [1, 10], [1, 40], [1, 50], [2, 875], [2, 275], [2, 60], [2, 90], [2, 90], [1, 200], [2, 350], [1, 575], [1, 70], [2, 30], [1, 800], [2, 10], [1, 500], [2, 20], [2, 80], [2, 30]];6414.9575597616995;6523.399257002468;[46, 48, 12, 23, 32, 29, 33, 43, 34, 14, 50, 44, 19, 24, 25, 37, 20, 49, 15, 1, 39, 30, 38, 28, 22, 6, 42, 9, 17, 31, 10, 47, 36, 11, 21, 41, 45, 26, 3, 18, 4, 13, 2, 7, 40, 5, 16, 27, 35, 8];1443;16;112;10000;100;2;0.5;10;RANKING;-1;0.8;OPX;0.2;SHIFT;-1
10;1.5;50;0.5;0.5;0;0;11;100000;[[2, 90], [2, 575], [1, 875], [2, 425], [2, 650], [2, 200], [2, 575], [2, 875], [1, 725], [1, 350], [2, 275], [2, 20], [2, 575], [2, 30], [2, 80], [2, 725], [1, 500], [1, 875], [2, 40], [2, 70], [2, 275], [2, 100], [1, 30], [2, 50], [2, 50], [1, 725], [2, 725], [1, 200], [1, 40], [2, 90], [1, 500], [1, 10], [1, 40], [1, 50], [2, 875], [2, 275], [2, 60], [2, 90], [2, 90], [1, 200], [2, 350], [1, 575], [1, 70], [2, 30], [1, 800], [2, 10], [1, 500], [2, 20], [2, 80], [2, 30]];6414.9575597616995;6550.851120131142;[46, 23, 43, 34, 32, 12, 48, 14, 44, 50, 19, 25, 24, 29, 28, 40, 33, 20, 49, 15, 39, 38, 1, 30, 22, 6, 11, 36, 21, 17, 31, 47, 26, 10, 3, 42, 45, 9, 18, 41, 4, 2, 13, 7, 5, 37, 16, 27, 8, 35];335;5;108;10000;100;2;0.5;25;RANKING;-1;0.8;OPX;0.2;SHIFT;-1
