id;alpha;jobs_count;single;small;example_number;blocks;series_name;energy;jobs;lower_bound;solution;permutation;iteration_solution_found;time_solution_found;total_ga_time;iterations_count;population_size;elites_count;random_initial_population_probability;best_random_population_size;selection_type;tourney_size;crossover_probability;crossover_type;mutation_probability;mutation_type;mutation_window
1;1.5;50;0.5;0.5;0;0;11;100000;[[2, 90], [2, 575], [1, 875], [2, 425], [2, 650], [2, 200], [2, 575], [2, 875], [1, 725], [1, 350], [2, 275], [2, 20], [2, 575], [2, 30], [2, 80], [2, 725], [1, 500], [1, 875], [2, 40], [2, 70], [2, 275], [2, 100], [1, 30], [2, 50], [2, 50], [1, 725], [2, 725], [1, 200], [1, 40], [2, 90], [1, 500], [1, 10], [1, 40], [1, 50], [2, 875], [2, 275], [2, 60], [2, 90], [2, 90], [1, 200], [2, 350], [1, 575], [1, 70], [2, 30], [1, 800], [2, 10], [1, 500], [2, 20], [2, 80], [2, 30]];6414.9575597616995;6551.282254688008;[46, 32, 29, 23, 48, 12, 44, 50, 14, 43, 28, 19, 25, 24, 37, 20, 15, 49, 1, 38, 39, 30, 22, 6, 17, 34, 40, 10, 47, 33, 42, 9, 31, 21, 36, 11, 41, 45, 3, 18, 26, 4, 7, 13, 2, 5, 27, 16, 8, 35];4319;37;80;10000;100;0;0.2;10;RANKING;-1;0.8;OPX;0.2;SHIFT;-1
2;1.5;50;0.5;0.5;0;0;11;100000;[[2, 90], [2, 575], [1, 875], [2, 425], [2, 650], [2, 200], [2, 575], [2, 875], [1, 725], [1, 350], [2, 275], [2, 20], [2, 575], [2, 30], [2, 80], [2, 725], [1, 500], [1, 875], [2, 40], [2, 70], [2, 275], [2, 100], [1, 30], [2, 50], [2, 50], [1, 725], [2, 725], [1, 200], [1, 40], [2, 90], [1, 500], [1, 10], [1, 40], [1, 50], [2, 875], [2, 275], [2, 60], [2, 90], [2, 90], [1, 200], [2, 350], [1, 575], [1, 70], [2, 30], [1, 800], [2, 10], [1, 500], [2, 20], [2, 80], [2, 30]];6414.9575597616995;6595.6399227510365;[46, 23, 34, 48, 12, 33, 43, 29, 44, 14, 50, 19, 25, 24, 37, 20, 15, 49, 38, 39, 1, 30, 40, 28, 22, 6, 31, 17, 32, 21, 11, 36, 18, 47, 45, 10, 9, 42, 3, 41, 26, 4, 2, 7, 13, 5, 16, 27, 35, 8];438;7;79;10000;100;0;0.2;25;RANKING;-1;0.8;OPX;0.2;SHIFT;-1
3;1.5;50;0.5;0.5;0;0;11;100000;[[2, 90], [2, 575], [1, 875], [2, 425], [2, 650], [2, 200], [2, 575], [2, 875], [1, 725], [1, 350], [2, 275], [2, 20], [2, 575], [2, 30], [2, 80], [2, 725], [1, 500], [1, 875], [2, 40], [2, 70], [2, 275], [2, 100], [1, 30], [2, 50], [2, 50], [1, 725], [2, 725], [1, 200], [1, 40], [2, 90], [1, 500], [1, 10], [1, 40], [1, 50], [2, 875], [2, 275], [2, 60], [2, 90], [2, 90], [1, 200], [2, 350], [1, 575], [1, 70], [2, 30], [1, 800], [2, 10], [1, 500], [2, 20], [2, 80], [2, 30]];6414.9575597616995;6590.111705124465;[46, 12, 48, 14, 34, 40, 33, 50, 44, 19, 32, 24, 25, 23, 37, 20, 15, 49, 39, 38, 30, 1, 22, 43, 28, 31, 29, 10, 6, 11, 21, 36, 17, 42, 26, 18, 9, 45, 3, 47, 41, 4, 7, 2, 13, 5, 16, 27, 35, 8];8454;66;79;10000;100;0;0.5;10;RANKING;-1;0.8;OPX;0.2;SHIFT;-1
4;1.5;50;0.5;0.5;0;0;11;100000;[[2, 90], [2, 575], [1, 875], [2, 425], [2, 650], [2, 200], [2, 575], [2, 875], [1, 725], [1, 350], [2, 275], [2, 20], [2, 575], [2, 30], [2, 80], [2, 725], [1, 500], [1, 875], [2, 40], [2, 70], [2, 275], [2, 100], [1, 30], [2, 50], [2, 50], [1, 725], [2, 725], [1, 200], [1, 40], [2, 90], [1, 500], [1, 10], [1, 40], [1, 50], [2, 875], [2, 275], [2, 60], [2, 90], [2, 90], [1, 200], [2, 350], [1, 575], [1, 70], [2, 30], [1, 800], [2, 10], [1, 500], [2, 20], [2, 80], [2, 30]];6414.9575597616995;6603.187379851324;[46, 23, 29, 12, 32, 48, 50, 14, 44, 34, 40, 19, 25, 24, 37, 20, 49, 15, 38, 30, 1, 39, 43, 22, 10, 26, 6, 31, 47, 33, 36, 11, 21, 41, 17, 9, 18, 42, 3, 45, 28, 4, 7, 2, 13, 5, 27, 16, 35, 8];6693;53;77;10000;100;0;0.5;25;RANKING;-1;0.8;OPX;0.2;SHIFT;-1
5;1.5;50;0.5;0.5;0;0;11;100000;[[2, 90], [2, 575], [1, 875], [2, 425], [2, 650], [2, 200], [2, 575], [2, 875], [1, 725], [1, 350], [2, 275], [2, 20], [2, 575], [2, 30], [2, 80], [2, 725], [1, 500], [1, 875], [2, 40], [2, 70], [2, 275], [2, 100], [1, 30], [2, 50], [2, 50], [1, 725], [2, 725], [1, 200], [1, 40], [2, 90], [1, 500], [1, 10], [1, 40], [1, 50], [2, 875], [2, 275], [2, 60], [2, 90], [2, 90], [1, 200], [2, 350], [1, 575], [1, 70], [2, 30], [1, 800], [2, 10], [1, 500], [2, 20], [2, 80], [2, 30]];6414.9575597616995;6611.120919158294;[46, 48, 50, 32, 33, 43, 29, 34, 12, 14, 44, 19, 24, 23, 25, 37, 20, 49, 15, 38, 39, 40, 28, 30, 1, 22, 6, 47, 10, 3, 21, 11, 36, 41, 42, 31, 17, 26, 45, 18, 9, 4, 13, 2, 7, 5, 27, 16, 35, 8];4364;34;78;10000;100;0;0.8;10;RANKING;-1;0.8;OPX;0.2;SHIFT;-1
6;1.5;50;0.5;0.5;0;0;11;100000;[[2, 90], [2, 575], [1, 875], [2, 425], [2, 650], [2, 200], [2, 575], [2, 875], [1, 725], [1, 350], [2, 275], [2, 20], [2, 575], [2, 30], [2, 80], [2, 725], [1, 500], [1, 875], [2, 40], [2, 70], [2, 275], [2, 100], [1, 30], [2, 50], [2, 50], [1, 725], [2, 725], [1, 200], [1, 40], [2, 90], [1, 500], [1, 10], [1, 40], [1, 50], [2, 875], [2, 275], [2, 60], [2, 90], [2, 90], [1, 200], [2, 350], [1, 575], [1, 70], [2, 30], [1, 800], [2, 10], [1, 500], [2, 20], [2, 80], [2, 30]];6414.9575597616995;6634.704618794682;[46, 32, 33, 23, 12, 48, 50, 14, 44, 19, 25, 24, 37, 43, 20, 29, 15, 49, 1, 39, 30, 38, 22, 34, 40, 42, 28, 17, 10, 6, 11, 21, 36, 41, 3, 31, 9, 45, 26, 18, 47, 4, 7, 2, 13, 5, 16, 27, 35, 8];4993;38;77;10000;100;0;0.8;25;RANKING;-1;0.8;OPX;0.2;SHIFT;-1
7;1.5;50;0.5;0.5;0;0;11;100000;[[2, 90], [2, 575], [1, 875], [2, 425], [2, 650], [2, 200], [2, 575], [2, 875], [1, 725], [1, 350], [2, 275], [2, 20], [2, 575], [2, 30], [2, 80], [2, 725], [1, 500], [1, 875], [2, 40], [2, 70], [2, 275], [2, 100], [1, 30], [2, 50], [2, 50], [1, 725], [2, 725], [1, 200], [1, 40], [2, 90], [1, 500], [1, 10], [1, 40], [1, 50], [2, 875], [2, 275], [2, 60], [2, 90], [2, 90], [1, 200], [2, 350], [1, 575], [1, 70], [2, 30], [1, 800], [2, 10], [1, 500], [2, 20], [2, 80], [2, 30]];6414.9575597616995;6570.8920757779515;[46, 32, 29, 33, 34, 48, 12, 50, 14, 44, 19, 24, 25, 37, 20, 49, 15, 30, 39, 23, 38, 1, 40, 22, 6, 31, 28, 42, 17, 26, 47, 36, 21, 11, 41, 45, 43, 9, 3, 18, 4, 7, 13, 2, 5, 10, 27, 16, 35, 8];4519;37;78;10000;100;2;0.2;10;RANKING;-1;0.8;OPX;0.2;SHIFT;-1
8;1.5;50;0.5;0.5;0;0;11;100000;[[2, 90], [2, 575], [1, 875], [2, 425], [2, 650], [2, 200], [2, 575], [2, 875], [1, 725], [1, 350], [2, 275], [2, 20], [2, 575], [2, 30], [2, 80], [2, 725], [1, 500], [1, 875], [2, 40], [2, 70], [2, 275], [2, 100], [1, 30], [2, 50], [2, 50], [1, 725], [2, 725], [1, 200], [1, 40], [2, 90], [1, 500], [1, 10], [1, 40], [1, 50], [2, 875], [2, 275], [2, 60], [2, 90], [2, 90], [1, 200], [2, 350], [1, 575], [1, 70], [2, 30], [1, 800], [2, 10], [1, 500], [2, 20], [2, 80], [2, 30]];6414.9575597616995;6616.944469448215;[46, 33, 23, 48, 40, 12, 50, 14, 44, 32, 28, 19, 25, 24, 29, 37, 20, 49, 15, 34, 30, 39, 43, 1, 38, 22, 6, 11, 10, 17, 26, 47, 45, 31, 18, 21, 36, 41, 3, 42, 9, 4, 13, 2, 7, 5, 16, 27, 35, 8];8869;69;77;10000;100;2;0.2;25;RANKING;-1;0.8;OPX;0.2;SHIFT;-1
9;1.5;50;0.5;0.5;0;0;11;100000;[[2, 90], [2, 575], [1, 875], [2, 425], [2, 650], [2, 200], [2, 575], [2, 875], [1, 725], [1, 350], [2, 275], [2, 20], [2, 575], [2, 30], [2, 80], [2, 725], [1, 500], [1, 875], [2, 40], [2, 70], [2, 275], [2, 100], [1, 30], [2, 50], [2, 50], [1, 725], [2, 725], [1, 200], [1, 40], [2, 90], [1, 500], [1, 10], [1, 40], [1, 50], [2, 875], [2, 275], [2, 60], [2, 90], [2, 90], [1, 200], [2, 350], [1, 575], [1, 70], [2, 30], [1, 800], [2, 10], [1, 500], [2, 20], [2, 80], [2, 30]];6414.9575597616995;6570.746345834084;[46, 23, 33, 29, 34, 12, 44, 50, 14, 19, 24, 25, 37, 20, 15, 49, 1, 39, 30, 38, 22, 28, 48, 40, 31, 32, 43, 10, 6, 36, 11, 21, 47, 17, 9, 41, 45, 3, 42, 18, 26, 4, 13, 2, 7, 5, 27, 16, 8, 35];5782;45;76;10000;100;2;0.5;10;RANKING;-1;0.8;OPX;0.2;SHIFT;-1
10;1.5;50;0.5;0.5;0;0;11;100000;[[2, 90], [2, 575], [1, 875], [2, 425], [2, 650], [2, 200], [2, 575], [2, 875], [1, 725], [1, 350], [2, 275], [2, 20], [2, 575], [2, 30], [2, 80], [2, 725], [1, 500], [1, 875], [2, 40], [2, 70], [2, 275], [2, 100], [1, 30], [2, 50], [2, 50], [1, 725], [2, 725], [1, 200], [1, 40], [2, 90], [1, 500], [1, 10], [1, 40], [1, 50], [2, 875], [2, 275], [2, 60], [2, 90], [2, 90], [1, 200], [2, 350], [1, 575], [1, 70], [2, 30], [1, 800], [2, 10], [1, 500], [2, 20], [2, 80], [2, 30]];6414.9575597616995;6626.079934345742;[46, 12, 33, 23, 43, 48, 50, 14, 44, 19, 25, 24, 29, 37, 20, 15, 49, 39, 1, 30, 38, 22, 6, 42, 32, 34, 40, 10, 45, 21, 28, 47, 36, 11, 9, 31, 26, 17, 41, 3, 18, 4, 2, 7, 13, 5, 27, 16, 35, 8];406;5;76;10000;100;2;0.5;25;RANKING;-1;0.8;OPX;0.2;SHIFT;-1
