ALPHA = 1.5
JOBS COUNT = 50
seria			avgAll2		    max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_11__10		8,34		4,23	3,50	0,00		3,87		0
-1.0_0.0_11__2		6,31		2,84	1,21	0,00		1,92		0
-1.0_0.0_11__4		6,05		2,64	0,86	0,00		1,79		0
-1.0_0.0_11__6		6,31		2,49	1,53	0,00		2,14		0
-1.0_0.0_11__8		6,80		3,35	2,37	0,00		2,77		0
-1.0_0.3_11__10		11,85		7,09	4,77	0,00		5,65		0
-1.0_0.3_11__2		8,91		5,12	1,85	0,00		3,18		0
-1.0_0.3_11__4		8,42		3,66	1,90	0,00		2,82		0
-1.0_0.3_11__6		8,50		3,77	2,21	0,00		3,05		0
-1.0_0.3_11__8		9,36		4,91	3,28	0,00		3,98		0
-1.0_0.5_11__10		14,99		7,72	6,62	0,00		7,19		0
-1.0_0.5_11__2		11,34		5,48	2,40	0,00		4,02		0
-1.0_0.5_11__4		9,81		4,33	1,69	0,00		3,09		0
-1.0_0.5_11__6		9,93		4,89	2,24	0,00		3,28		0
-1.0_0.5_11__8		11,27		6,24	3,94	0,00		4,68		0
-1.0_0.7_11__10		15,53		7,83	4,91	0,00		7,08		0
-1.0_0.7_11__2		14,30		8,21	2,83	0,00		5,19		0
-1.0_0.7_11__4		12,40		4,86	2,11	0,00		3,58		0
-1.0_0.7_11__6		12,71		4,98	2,19	0,00		3,98		0
-1.0_0.7_11__8		13,77		6,43	4,04	0,00		5,60		0
-1.0_1.0_11__10		9,78		5,15	4,21	0,00		4,72		0
-1.0_1.0_11__2		7,40		4,02	1,56	0,00		2,55		0
-1.0_1.0_11__4		6,91		2,96	1,30	0,00		2,19		0
-1.0_1.0_11__6		7,06		3,04	1,86	0,00		2,46		0
-1.0_1.0_11__8		7,81		3,77	2,77	0,00		3,31		0



ALPHA = 1.5
JOBS COUNT = 100
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_11__10		3,35		1,22	0,74	0,00		0,98		0
-1.0_0.0_11__2		2,98		1,11	0,21	0,00		0,65		0
-1.0_0.0_11__4		3,51		1,52	0,66	0,00		1,17		0
-1.0_0.0_11__6		3,57		1,61	0,85	0,00		1,24		0
-1.0_0.0_11__8		3,94		1,99	1,39	0,00		1,64		0
-1.0_0.3_11__10		4,70		1,84	1,10	0,00		1,50		0
-1.0_0.3_11__2		4,10		1,63	0,49	0,00		1,06		0
-1.0_0.3_11__4		4,69		2,59	0,96	0,00		1,65		0
-1.0_0.3_11__6		5,08		2,46	1,47	0,00		1,99		0
-1.0_0.3_11__8		5,48		3,13	1,91	0,00		2,39		0
-1.0_0.5_11__10		5,49		2,07	1,05	0,00		1,55		0
-1.0_0.5_11__2		5,20		2,07	0,21	0,00		1,29		0
-1.0_0.5_11__4		5,97		2,95	1,59	0,00		2,10		0
-1.0_0.5_11__6		6,12		3,23	1,74	0,00		2,30		0
-1.0_0.5_11__8		6,79		3,74	2,26	0,00		3,00		0
-1.0_0.7_11__10		6,23		1,82	0,71	0,00		1,27		0
-1.0_0.7_11__2		6,84		3,45	0,65	0,00		1,79		0
-1.0_0.7_11__4		7,68		3,56	1,37	0,00		2,57		0
-1.0_0.7_11__6		7,88		3,45	1,88	0,00		2,76		0
-1.0_0.7_11__8		8,58		4,64	2,64	0,00		3,62		0
-1.0_1.0_11__10		3,91		1,59	0,65	0,00		1,26		0
-1.0_1.0_11__2		3,53		1,41	0,34	0,00		0,95		0
-1.0_1.0_11__4		3,93		1,90	0,87	0,00		1,35		0
-1.0_1.0_11__6		4,09		2,38	0,98	0,00		1,52		0
-1.0_1.0_11__8		4,42		2,54	1,46	0,00		1,89		0



ALPHA = 2.0
JOBS COUNT = 50
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_11__10		6,57		3,10	2,36	0,00		2,75		0
-1.0_0.0_11__2		5,10		2,39	0,58	0,00		1,40		0
-1.0_0.0_11__4		5,24		2,23	1,00	0,00		1,67		0
-1.0_0.0_11__6		5,35		2,44	1,55	0,00		1,83		0
-1.0_0.0_11__8		5,55		2,41	1,67	0,00		2,10		0
-1.0_0.3_11__10		9,48		5,39	3,18	0,00		4,12		0
-1.0_0.3_11__2		7,64		4,40	1,14	0,00		2,77		0
-1.0_0.3_11__4		7,69		3,90	1,29	0,00		2,92		0
-1.0_0.3_11__6		7,73		3,69	2,31	0,00		3,01		0
-1.0_0.3_11__8		7,86		3,92	2,50	0,00		3,23		0
-1.0_0.5_11__10		11,41		5,70	3,79	0,00		5,09		0
-1.0_0.5_11__2		9,98		5,12	1,71	0,00		3,72		0
-1.0_0.5_11__4		9,44		4,73	1,94	0,00		3,38		0
-1.0_0.5_11__6		9,44		4,55	2,30	0,00		3,58		0
-1.0_0.5_11__8		9,42		4,63	2,82	0,00		3,78		0
-1.0_0.7_11__10		11,51		5,46	3,87	0,00		4,68		0
