ALPHA = 1.5
JOBS COUNT = 50
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_22__10		5,78		2,45	2,28	0,00		2,37		0
-1.0_0.0_22__2		4,17		1,05	0,64	0,00		0,79		0
-1.0_0.0_22__4		4,16		1,05	0,68	0,00		0,89		0
-1.0_0.0_22__6		4,32		1,23	1,02	0,00		1,15		0
-1.0_0.0_22__8		4,71		1,72	1,51	0,00		1,63		0
-1.0_0.3_22__10		9,44		7,93	3,60	0,00		4,09		0
-1.0_0.3_22__2		7,06		4,61	0,82	0,00		2,39		0
-1.0_0.3_22__4		6,89		4,15	1,01	0,00		2,23		0
-1.0_0.3_22__6		7,18		4,05	1,27	0,00		2,69		0
-1.0_0.3_22__8		7,31		5,09	2,06	0,00		2,91		0
-1.0_0.5_22__10		16,02		8,95	7,90	0,00		8,07		0
-1.0_0.5_22__2		9,42		6,25	1,26	0,00		2,98		0
-1.0_0.5_22__4		9,04		5,03	0,97	0,00		3,17		0
-1.0_0.5_22__6		8,84		5,28	1,48	0,00		3,05		0
-1.0_0.5_22__8		10,05		7,40	3,01	0,00		4,28		0
-1.0_0.7_22__10		19,57		8,98	3,00	0,00		8,57		0
-1.0_0.7_22__2		15,93		11,45	1,60	0,00		5,93		0
-1.0_0.7_22__4		13,38		6,26	1,01	0,00		4,45		0
-1.0_0.7_22__6		13,40		6,60	1,74	0,00		4,33		0
-1.0_0.7_22__8		14,50		7,44	2,98	0,00		6,20		0
-1.0_1.0_22__10		6,59		2,99	2,67	0,00		2,85		0
-1.0_1.0_22__2		4,89		1,55	0,87	0,00		1,20		0
-1.0_1.0_22__4		4,76		1,45	0,87	0,00		1,18		0
-1.0_1.0_22__6		4,91		1,67	1,26	0,00		1,43		0
-1.0_1.0_22__8		5,40		2,17	1,84	0,00		2,01		0



ALPHA = 1.5
JOBS COUNT = 100
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_22__10		2,34		0,60	0,50	0,00		0,55		0
-1.0_0.0_22__2		1,98		0,30	0,09	0,00		0,19		0
-1.0_0.0_22__4		2,38		0,66	0,47	0,00		0,58		0
-1.0_0.0_22__6		2,47		0,78	0,62	0,00		0,70		0
-1.0_0.0_22__8		2,69		1,03	0,89	0,00		0,95		0
-1.0_0.3_22__10		4,15		2,44	0,64	0,00		1,53		0
-1.0_0.3_22__2		3,05		1,84	0,12	0,00		0,61		0
-1.0_0.3_22__4		3,82		2,51	0,62	0,00		1,36		0
-1.0_0.3_22__6		4,14		2,61	0,84	0,00		1,66		0
-1.0_0.3_22__8		4,25		2,99	1,22	0,00		1,78		0
-1.0_0.5_22__10		5,35		3,01	0,64	0,00		1,81		0
-1.0_0.5_22__2		4,29		2,61	0,00	0,00		0,91		0
-1.0_0.5_22__4		5,37		3,36	0,84	0,00		1,98		0
-1.0_0.5_22__6		5,28		3,28	1,07	0,00		1,97		0
-1.0_0.5_22__8		5,94		3,73	1,51	0,00		2,64		0
-1.0_0.7_22__10		7,29		2,98	0,38	0,00		1,82		0
-1.0_0.7_22__2		6,78		4,34	-0,13	-0,09		1,81		2
-1.0_0.7_22__4		7,88		4,73	0,95	0,00		2,69		0
-1.0_0.7_22__6		8,60		4,82	1,46	0,00		3,24		0
-1.0_0.7_22__8		9,04		6,64	1,94	0,00		4,00		0
-1.0_1.0_22__10		2,69		0,84	0,50	0,00		0,71		0
-1.0_1.0_22__2		2,33		0,52	0,16	0,00		0,37		0
-1.0_1.0_22__4		2,71		0,95	0,58	0,00		0,74		0
-1.0_1.0_22__6		2,83		1,14	0,70	0,00		0,89		0
-1.0_1.0_22__8		3,06		1,30	1,00	0,00		1,15		0



ALPHA = 2.0
JOBS COUNT = 50
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_22__10		4,36		1,55	1,37	0,00		1,45		0
-1.0_0.0_22__2		3,25		0,59	0,19	0,00		0,36		0
-1.0_0.0_22__4		3,46		0,80	0,54	0,00		0,67		0
-1.0_0.0_22__6		3,55		0,95	0,77	0,00		0,84		0
-1.0_0.0_22__8		3,66		1,14	0,94	0,00		1,04		0
-1.0_0.3_22__10		7,30		6,40	2,11	0,00		2,64		0
-1.0_0.3_22__2		6,63		4,43	0,34	0,00		2,56		0
-1.0_0.3_22__4		6,70		4,36	0,66	0,00		2,71		0
-1.0_0.3_22__6		6,93		4,06	0,96	0,00		3,01		0
-1.0_0.3_22__8		6,27		4,53	1,31	0,00		2,42		0
-1.0_0.5_22__10		12,20		6,42	2,23	0,00		5,81		0
-1.0_0.5_22__2		9,05		7,12	0,45	0,00		3,38		0
-1.0_0.5_22__4		8,96		6,66	0,85	0,00		3,41		0
-1.0_0.5_22__6		9,19		5,34	1,15	0,00		3,88		0
-1.0_0.5_22__8		8,21		4,58	1,88	0,00		3,20		0
-1.0_0.7_22__10		15,06		6,40	1,99	0,00		5,50		0
-1.0_0.7_22__2		12,23		9,63	0,84	0,00		3,94		0
-1.0_0.7_22__4		11,68		7,76	0,92	0,00		3,85		0
-1.0_0.7_22__6		11,55		6,97	1,57	0,00		3,83		0
-1.0_0.7_22__8		12,42		6,44	2,00	0,00		5,15		0
-1.0_1.0_22__10		4,93		2,04	1,62	0,00		1,78		0
-1.0_1.0_22__2		3,76		1,00	0,21	0,00		0,63		0
-1.0_1.0_22__4		4,00		1,36	0,60	0,00		0,96		0
-1.0_1.0_22__6		4,10		1,40	0,88	0,00		1,16		0
-1.0_1.0_22__8		4,23		1,53	1,18	0,00		1,37		0



ALPHA = 2.0
JOBS COUNT = 100
seria			avgAll2		max1	min1	avgWeBetter	avgWorse	countWeBetter
-1.0_0.0_22__10		1,91		0,47	0,35	0,00		0,41		0
-1.0_0.0_22__2		1,53		0,18	-0,07	-0,03		0,07		10
-1.0_0.0_22__4		1,89		0,49	0,32	0,00		0,39		0
-1.0_0.0_22__6		1,97		0,58	0,42	0,00		0,50		0
-1.0_0.0_22__8		2,04		0,66	0,50	0,00		0,59		0
-1.0_0.3_22__10		3,61		2,52	0,49	0,00		1,36		0
