id;alpha;jobs_count;single;small;example_number;blocks;series_name;energy;jobs;lower_bound;solution;permutation;iteration_solution_found;time_solution_found;total_ga_time;iterations_count;population_size;elites_count;random_initial_population_probability;best_random_population_size;selection_type;crossover_probability;crossover_type;mutation_probability;mutation_type;mutation_window;lambda;include_zero
1;1.5;50;0.5;0.5;0;0;11;100000;[[1, 500], [1, 70], [1, 575], [1, 50], [2, 60], [2, 20], [2, 90], [1, 650], [2, 500], [1, 90], [2, 30], [1, 80], [2, 100], [2, 90], [2, 90], [2, 30], [2, 20], [1, 425], [1, 875], [1, 10], [1, 60], [2, 50], [2, 70], [1, 20], [2, 60], [2, 650], [2, 40], [1, 425], [1, 30], [2, 50], [2, 90], [2, 875], [2, 425], [2, 80], [2, 20], [1, 40], [2, 575], [1, 20], [1, 100], [2, 40], [1, 500], [2, 40], [2, 500], [2, 100], [2, 70], [1, 10], [2, 60], [1, 425], [1, 70], [2, 90]];1259.7706693030664;1287.0814424509333;[46, 20, 38, 24, 6, 35, 23, 17, 12, 29, 16, 11, 49, 2, 10, 4, 39, 21, 42, 36, 40, 27, 22, 30, 5, 47, 25, 45, 34, 50, 15, 31, 14, 7, 13, 44, 18, 48, 1, 28, 41, 3, 19, 8, 33, 9, 43, 37, 26, 32];185;14;488;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.8;true
2;1.5;50;0.5;0.5;1;0;11;100000;[[1, 275], [2, 20], [2, 70], [1, 875], [2, 50], [2, 80], [1, 60], [2, 20], [1, 425], [1, 275], [1, 30], [1, 70], [2, 60], [1, 90], [2, 80], [1, 10], [1, 70], [2, 40], [1, 70], [1, 275], [1, 20], [1, 50], [2, 350], [1, 575], [1, 500], [2, 30], [2, 70], [2, 30], [1, 50], [1, 200], [1, 575], [1, 425], [1, 40], [2, 90], [2, 70], [2, 100], [2, 200], [1, 275], [1, 80], [2, 70], [1, 350], [1, 575], [1, 90], [1, 40], [2, 20], [2, 275], [1, 60], [2, 800], [1, 650], [2, 425]];961.303855211657;1001.6316720874497;[8, 45, 2, 11, 17, 21, 47, 33, 44, 22, 14, 16, 26, 28, 12, 39, 19, 29, 7, 43, 18, 5, 13, 35, 40, 3, 27, 6, 15, 34, 36, 1, 20, 10, 41, 9, 32, 30, 38, 37, 46, 25, 42, 31, 24, 4, 49, 23, 50, 48];9092;284;465;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.8;true
3;1.5;50;0.5;0.5;2;0;11;100000;[[1, 100], [1, 90], [1, 40], [1, 40], [1, 30], [1, 40], [2, 30], [1, 350], [2, 40], [1, 50], [1, 10], [1, 275], [1, 650], [1, 30], [2, 60], [1, 800], [2, 80], [1, 60], [1, 275], [1, 100], [1, 500], [1, 60], [2, 70], [1, 725], [2, 60], [2, 70], [2, 60], [1, 40], [1, 200], [1, 80], [1, 800], [1, 90], [1, 50], [1, 350], [1, 875], [1, 80], [2, 425], [1, 90], [1, 100], [1, 70], [1, 800], [1, 90], [1, 10], [1, 10], [1, 425], [2, 80], [1, 20], [2, 100], [1, 725], [1, 575]];731.7547238865033;780.2921017473044;[47, 43, 44, 14, 11, 4, 3, 5, 28, 10, 7, 6, 30, 33, 18, 2, 38, 22, 40, 36, 1, 9, 32, 20, 42, 39, 25, 27, 15, 23, 26, 17, 46, 48, 29, 12, 19, 8, 34, 45, 21, 50, 13, 24, 49, 31, 41, 16, 35, 37];532;18;391;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.8;true
4;1.5;50;0.5;0.5;3;0;11;100000;[[1, 80], [1, 50], [1, 50], [2, 200], [2, 50], [1, 80], [1, 90], [2, 20], [1, 20], [1, 10], [1, 60], [1, 650], [2, 50], [2, 350], [1, 50], [1, 80], [2, 60], [1, 650], [2, 50], [1, 200], [1, 60], [1, 725], [2, 20], [2, 425], [1, 275], [1, 875], [1, 40], [1, 875], [1, 40], [1, 60], [1, 650], [1, 100], [1, 50], [1, 10], [2, 30], [2, 10], [1, 90], [1, 10], [1, 10], [2, 20], [1, 60], [1, 100], [1, 70], [1, 80], [1, 350], [1, 725], [1, 30], [1, 575], [2, 70], [1, 10]];474.0463717798183;506.8054182688255;[9, 47, 39, 50, 36, 40, 8, 23, 29, 33, 34, 15, 11, 3, 10, 27, 2, 21, 44, 16, 30, 41, 43, 37, 35, 1, 32, 6, 7, 13, 5, 19, 17, 49, 42, 25, 38, 20, 45, 4, 48, 31, 18, 12, 22, 46, 28, 26, 14, 24];13143;357;409;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.8;true
5;1.5;50;0.5;0.5;4;0;11;100000;[[1, 40], [2, 800], [2, 50], [1, 20], [2, 30], [2, 40], [1, 200], [1, 100], [1, 90], [1, 275], [1, 40], [1, 30], [2, 70], [2, 200], [1, 100], [2, 40], [1, 60], [2, 70], [1, 30], [1, 20], [1, 40], [1, 30], [1, 80], [2, 10], [2, 50], [1, 40], [1, 40], [1, 575], [2, 60], [2, 80], [2, 90], [1, 650], [1, 875], [1, 100], [1, 80], [1, 60], [1, 575], [1, 20], [2, 875], [1, 10], [1, 100], [1, 200], [1, 60], [1, 50], [1, 350], [1, 80], [2, 80], [1, 70], [1, 200], [2, 100]];393.23581881384143;413.52272456619806;[24, 20, 40, 38, 12, 4, 22, 26, 27, 44, 21, 1, 19, 36, 43, 15, 48, 5, 6, 16, 35, 23, 46, 8, 17, 49, 9, 41, 11, 34, 25, 3, 29, 18, 13, 30, 47, 31, 7, 42, 50, 14, 45, 10, 37, 28, 33, 32, 2, 39];1841;48;398;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.8;true
6;1.5;50;0.5;0.5;5;0;11;100000;[[1, 60], [1, 50], [2, 40], [2, 10], [1, 725], [2, 90], [1, 50], [1, 10], [1, 100], [1, 70], [1, 80], [1, 70], [1, 20], [1, 875], [1, 200], [2, 100], [1, 80], [2, 10], [1, 70], [1, 100], [1, 500], [2, 90], [1, 30], [2, 20], [1, 100], [1, 60], [1, 70], [1, 725], [2, 50], [1, 40], [1, 60], [1, 90], [2, 50], [1, 10], [1, 50], [2, 40], [2, 60], [1, 70], [2, 70], [2, 800], [1, 650], [1, 275], [1, 70], [1, 30], [1, 30], [2, 275], [1, 90], [1, 20], [1, 425], [1, 650]];357.11968205259365;381.7093448571966;[8, 34, 18, 4, 44, 7, 13, 24, 45, 30, 35, 2, 38, 48, 10, 43, 31, 26, 32, 23, 1, 11, 27, 17, 12, 47, 19, 20, 3, 36, 9, 25, 33, 29, 37, 39, 22, 6, 42, 15, 49, 46, 50, 16, 21, 5, 41, 14, 28, 40];7623;206;410;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.8;true
7;1.5;50;0.5;0.5;6;0;11;100000;[[2, 20], [1, 50], [1, 575], [2, 575], [2, 20], [2, 70], [1, 20], [2, 80], [2, 50], [2, 50], [1, 70], [1, 200], [1, 650], [2, 50], [2, 425], [2, 350], [1, 50], [1, 350], [1, 90], [1, 40], [1, 575], [2, 10], [2, 40], [2, 70], [2, 40], [1, 70], [1, 500], [1, 100], [1, 30], [1, 60], [1, 40], [1, 100], [2, 80], [1, 80], [2, 40], [1, 275], [1, 50], [1, 50], [1, 875], [2, 30], [2, 20], [1, 90], [2, 90], [1, 10], [1, 275], [2, 60], [1, 60], [2, 90], [1, 100], [1, 10]];393.0504380027369;412.2631270382885;[22, 1, 5, 41, 50, 20, 44, 31, 38, 29, 7, 2, 17, 12, 47, 37, 42, 30, 26, 40, 23, 25, 35, 34, 32, 28, 19, 49, 11, 9, 10, 14, 46, 24, 6, 33, 8, 43, 48, 45, 18, 36, 27, 3, 21, 13, 39, 16, 15, 4];10503;311;456;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.8;true
8;1.5;50;0.5;0.5;7;0;11;100000;[[2, 20], [1, 50], [1, 575], [2, 575], [2, 20], [2, 70], [2, 20], [2, 80], [2, 50], [2, 50], [2, 70], [2, 200], [2, 650], [2, 50], [2, 425], [2, 350], [2, 50], [2, 350], [2, 90], [2, 40], [2, 575], [2, 10], [2, 40], [2, 70], [2, 40], [2, 70], [2, 500], [1, 100], [1, 30], [2, 60], [2, 40], [2, 100], [2, 80], [2, 80], [2, 40], [2, 275], [1, 50], [2, 50], [1, 875], [2, 30], [2, 20], [2, 90], [2, 90], [1, 10], [1, 275], [2, 60], [1, 60], [2, 90], [2, 100], [2, 10]];971.3361249501876;990.5103966223712;[50, 22, 37, 44, 7, 5, 1, 41, 40, 47, 2, 28, 31, 35, 20, 25, 23, 10, 29, 38, 17, 9, 30, 46, 24, 11, 6, 26, 34, 33, 8, 48, 19, 14, 42, 43, 49, 32, 12, 36, 45, 39, 3, 16, 18, 15, 27, 21, 4, 13];3572;148;598;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.8;true
9;1.5;50;0.5;0.5;8;0;11;100000;[[1, 70], [2, 30], [2, 60], [2, 200], [2, 200], [1, 575], [2, 20], [2, 40], [2, 425], [2, 50], [2, 50], [1, 40], [2, 90], [2, 30], [2, 50], [2, 50], [1, 70], [2, 30], [2, 350], [1, 40], [2, 10], [1, 80], [2, 20], [1, 30], [1, 90], [2, 350], [2, 40], [1, 90], [2, 30], [2, 50], [1, 350], [2, 200], [2, 90], [2, 90], [2, 10], [2, 30], [1, 50], [1, 40], [1, 90], [1, 875], [1, 40], [1, 20], [2, 20], [1, 30], [2, 50], [1, 50], [1, 80], [1, 650], [2, 30], [2, 50]];281.30866713913605;295.3166384269526;[21, 35, 7, 23, 43, 12, 24, 37, 42, 40, 46, 44, 17, 38, 29, 36, 2, 14, 49, 18, 47, 20, 41, 25, 39, 22, 1, 28, 8, 27, 45, 16, 11, 30, 10, 15, 50, 3, 13, 34, 33, 32, 4, 5, 6, 31, 48, 26, 19, 9];2484;93;511;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.8;true
10;1.5;50;0.5;0.5;9;0;11;100000;[[2, 10], [1, 10], [2, 350], [1, 50], [1, 60], [1, 20], [1, 70], [1, 425], [2, 10], [2, 70], [1, 90], [1, 60], [1, 50], [1, 30], [1, 80], [2, 20], [1, 60], [1, 50], [2, 40], [1, 80], [1, 90], [2, 650], [2, 10], [1, 60], [1, 90], [2, 500], [1, 90], [2, 60], [1, 40], [1, 575], [2, 10], [2, 10], [1, 725], [1, 60], [1, 90], [1, 500], [1, 70], [1, 90], [2, 70], [1, 20], [2, 650], [2, 60], [1, 20], [2, 500], [2, 90], [2, 100], [1, 350], [1, 500], [2, 50], [1, 50]];461.90810035580273;474.6229959566469;[1, 9, 23, 31, 32, 16, 14, 6, 2, 4, 43, 40, 13, 50, 5, 29, 24, 17, 7, 18, 34, 12, 35, 19, 20, 25, 11, 38, 37, 15, 27, 21, 49, 42, 46, 28, 10, 39, 45, 8, 47, 36, 48, 33, 30, 3, 26, 44, 41, 22];10455;309;498;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.8;true
