ALPHA = 1.5
JOBS COUNT = 50
seria			withSort	withoutSort	Elb		Dlb		Slb
-1.0_0.0_12__10		4,62 | 30	4,62 | 30	5,78	0,00	0,05
-1.0_0.0_12__2		44,52 | 30	44,52 | 30	4,17	0,01	0,10
-1.0_0.0_12__4		20,46 | 30	20,46 | 30	4,16	0,01	0,08
-1.0_0.0_12__6		12,31 | 30	12,31 | 30	4,32	0,00	0,05
-1.0_0.0_12__8		7,95 | 30	7,95 | 30	4,71	0,00	0,06
-1.0_0.3_12__10		1,86 | 28	1,86 | 28	9,35	1,39	1,18
-1.0_0.3_12__2		41,00 | 30	41,00 | 30	6,92	2,08	1,44
-1.0_0.3_12__4		17,72 | 30	17,72 | 30	6,77	1,44	1,20
-1.0_0.3_12__6		9,71 | 30	9,71 | 30	7,02	1,41	1,19
-1.0_0.3_12__8		5,65 | 30	5,65 | 30	7,25	1,81	1,34
-1.0_0.5_12__10		0,00 | 0	0,00 | 0	14,30	0,83	0,91
-1.0_0.5_12__2		38,75 | 30	38,75 | 30	8,81	2,38	1,54
-1.0_0.5_12__4		16,00 | 30	16,00 | 30	8,51	2,69	1,64
-1.0_0.5_12__6		8,55 | 30	8,55 | 30	8,38	2,87	1,69
-1.0_0.5_12__8		3,69 | 30	3,69 | 30	9,53	0,72	0,85
-1.0_0.7_12__10		0,94 | 1	0,94 | 1	16,29	2,38	1,54
-1.0_0.7_12__2		34,00 | 30	34,00 | 30	12,95	7,12	2,67
-1.0_0.7_12__4		13,23 | 30	13,23 | 30	11,50	2,52	1,59
-1.0_0.7_12__6		6,07 | 30	6,07 | 30	11,38	4,57	2,14
-1.0_0.7_12__8		1,42 | 28	1,42 | 28	12,54	4,53	2,13
-1.0_1.0_12__10		1,19 | 30	1,19 | 30	9,78	0,20	0,45
-1.0_1.0_12__2		40,39 | 30	40,39 | 30	7,40	0,44	0,66
-1.0_1.0_12__4		17,59 | 30	17,59 | 30	6,91	0,20	0,45
-1.0_1.0_12__6		9,71 | 30	9,71 | 30	7,06	0,17	0,42
-1.0_1.0_12__8		5,15 | 30	5,15 | 30	7,81	0,13	0,36



ALPHA = 1.5
JOBS COUNT = 100
seria			withSort	withoutSort	Elb		Dlb		Slb
-1.0_0.0_12__10		7,78 | 30	7,78 | 30	2,34	0,00	0,03
-1.0_0.0_12__2		47,38 | 30	47,38 | 30	1,98	0,00	0,05
-1.0_0.0_12__4		22,33 | 30	22,33 | 30	2,38	0,00	0,05
-1.0_0.0_12__6		14,10 | 30	14,10 | 30	2,47	0,00	0,05
-1.0_0.0_12__8		9,81 | 30	9,81 | 30	2,69	0,00	0,03
-1.0_0.3_12__10		6,19 | 30	6,19 | 30	4,03	0,19	0,44
-1.0_0.3_12__2		45,95 | 30	45,95 | 30	3,04	0,26	0,51
-1.0_0.3_12__4		20,82 | 30	20,82 | 30	3,74	0,37	0,61
-1.0_0.3_12__6		12,48 | 30	12,48 | 30	4,04	0,32	0,56
-1.0_0.3_12__8		8,36 | 30	8,36 | 30	4,18	0,37	0,61
-1.0_0.5_12__10		5,41 | 30	5,41 | 30	4,97	0,31	0,56
-1.0_0.5_12__2		44,67 | 30	44,67 | 30	4,04	0,61	0,78
-1.0_0.5_12__4		19,51 | 30	19,51 | 30	4,97	0,70	0,83
-1.0_0.5_12__6		11,60 | 30	11,60 | 30	4,97	0,59	0,77
-1.0_0.5_12__8		7,09 | 30	7,09 | 30	5,56	0,82	0,91
-1.0_0.7_12__10		4,49 | 30	4,49 | 30	6,22	0,35	0,59
-1.0_0.7_12__2		42,53 | 30	42,53 | 30	5,74	1,46	1,21
-1.0_0.7_12__4		17,77 | 30	17,77 | 30	6,70	1,10	1,05
-1.0_0.7_12__6		9,58 | 30	9,58 | 30	7,17	1,24	1,11
-1.0_0.7_12__8		5,25 | 30	5,25 | 30	7,66	1,00	1,00
-1.0_1.0_12__10		6,35 | 30	6,35 | 30	3,91	0,05	0,22
-1.0_1.0_12__2		45,30 | 30	45,30 | 30	3,53	0,11	0,33
-1.0_1.0_12__4		20,63 | 30	20,63 | 30	3,93	0,08	0,28
-1.0_1.0_12__6		12,46 | 30	12,46 | 30	4,09	0,13	0,36
-1.0_1.0_12__8		8,15 | 30	8,15 | 30	4,42	0,07	0,26



ALPHA = 2.0
JOBS COUNT = 50
seria			withSort	withoutSort	Elb		Dlb		Slb
-1.0_0.0_12__10		5,86 | 30	5,86 | 30	4,36	0,00	0,05
-1.0_0.0_12__2		45,97 | 30	45,97 | 30	3,25	0,01	0,11
-1.0_0.0_12__4		21,26 | 30	21,26 | 30	3,46	0,00	0,07
-1.0_0.0_12__6		13,06 | 30	13,06 | 30	3,55	0,00	0,05
-1.0_0.0_12__8		8,91 | 30	8,91 | 30	3,66	0,00	0,05
-1.0_0.3_12__10		3,51 | 28	3,51 | 28	7,33	1,28	1,13
-1.0_0.3_12__2		41,97 | 30	41,97 | 30	6,35	1,82	1,35
-1.0_0.3_12__4		18,03 | 30	18,03 | 30	6,47	1,64	1,28
-1.0_0.3_12__6		9,92 | 30	9,92 | 30	6,70	1,42	1,19
-1.0_0.3_12__8		6,53 | 30	6,53 | 30	6,19	2,11	1,45
-1.0_0.5_12__10		3,60 | 4	3,60 | 4	10,93	2,50	1,58
-1.0_0.5_12__2		39,82 | 30	39,82 | 30	8,21	3,94	1,98
-1.0_0.5_12__4		16,35 | 30	16,35 | 30	8,22	3,34	1,83
-1.0_0.5_12__6		8,41 | 30	8,41 | 30	8,39	3,14	1,77
-1.0_0.5_12__8		5,08 | 30	5,08 | 30	7,83	0,26	0,51
-1.0_0.7_12__10		2,41 | 2	2,41 | 2	12,40	1,56	1,25
-1.0_0.7_12__2		37,66 | 30	37,66 | 30	10,21	7,88	2,81
-1.0_0.7_12__4		14,79 | 30	14,79 | 30	9,95	4,03	2,01
-1.0_0.7_12__6		7,28 | 30	7,28 | 30	9,86	4,75	2,18
-1.0_0.7_12__8		2,72 | 30	2,72 | 30	10,66	3,57	1,89
-1.0_1.0_12__10		3,04 | 30	3,04 | 30	7,49	0,09	0,30
-1.0_1.0_12__2		42,75 | 30	42,75 | 30	5,78	0,43	0,65
-1.0_1.0_12__4		18,55 | 30	18,55 | 30	6,02	0,24	0,49
-1.0_1.0_12__6		10,49 | 30	10,49 | 30	6,16	0,12	0,35
-1.0_1.0_12__8		6,38 | 30	6,38 | 30	6,35	0,10	0,31



ALPHA = 2.0
JOBS COUNT = 100
seria			withSort	withoutSort	Elb		Dlb		Slb
-1.0_0.0_12__10		8,14 | 30	8,14 | 30	1,91	0,00	0,03
-1.0_0.0_12__2		48,10 | 30	48,10 | 30	1,53	0,00	0,07
-1.0_0.0_12__4		22,91 | 30	22,91 | 30	1,89	0,00	0,05
-1.0_0.0_12__6		14,61 | 30	14,61 | 30	1,97	0,00	0,04
-1.0_0.0_12__8		10,44 | 30	10,44 | 30	2,04	0,00	0,04
-1.0_0.3_12__10		6,57 | 30	6,57 | 30	3,52	0,28	0,53
-1.0_0.3_12__2		45,95 | 30	45,95 | 30	3,13	0,55	0,74
-1.0_0.3_12__4		21,28 | 30	21,28 | 30	3,35	0,45	0,67
-1.0_0.3_12__6		13,16 | 30	13,16 | 30	3,35	0,34	0,58
-1.0_0.3_12__8		9,14 | 30	9,14 | 30	3,35	0,51	0,71
-1.0_0.5_12__10		5,69 | 30	5,69 | 30	4,50	0,34	0,58
-1.0_0.5_12__2		44,78 | 30	44,78 | 30	4,06	0,83	0,91
-1.0_0.5_12__4		20,11 | 30	20,11 | 30	4,44	0,85	0,92
-1.0_0.5_12__6		11,90 | 30	11,90 | 30	4,62	0,77	0,88
-1.0_0.5_12__8		7,83 | 30	7,83 | 30	4,71	0,81	0,90
-1.0_0.7_12__10		4,83 | 30	4,83 | 30	5,59	0,38	0,62
-1.0_0.7_12__2		43,34 | 30	43,34 | 30	5,28	1,74	1,32
-1.0_0.7_12__4		19,05 | 30	19,05 | 30	5,53	1,17	1,08
-1.0_0.7_12__6		10,93 | 30	10,93 | 30	5,69	1,27	1,13
-1.0_0.7_12__8		6,58 | 30	6,58 | 30	6,13	0,90	0,95
-1.0_1.0_12__10		6,84 | 30	6,84 | 30	3,28	0,04	0,20
-1.0_1.0_12__2		46,22 | 30	46,22 | 30	2,95	0,14	0,38
-1.0_1.0_12__4		21,26 | 30	21,26 | 30	3,37	0,16	0,40
-1.0_1.0_12__6		13,01 | 30	13,01 | 30	3,51	0,10	0,32
-1.0_1.0_12__8		8,87 | 30	8,87 | 30	3,62	0,03	0,16



ALPHA = 2.5
JOBS COUNT = 50
seria			withSort	withoutSort	Elb		Dlb		Slb
-1.0_0.0_12__10		6,44 | 30	6,44 | 30	3,71	0,00	0,05
-1.0_0.0_12__2		46,65 | 30	46,65 | 30	2,83	0,01	0,12
-1.0_0.0_12__4		21,69 | 30	21,69 | 30	3,10	0,01	0,08
-1.0_0.0_12__6		13,44 | 30	13,44 | 30	3,18	0,00	0,06
-1.0_0.0_12__8		9,30 | 30	9,30 | 30	3,24	0,00	0,04
-1.0_0.3_12__10		3,79 | 30	3,79 | 30	6,60	1,27	1,12
-1.0_0.3_12__2		43,12 | 30	43,12 | 30	5,58	2,66	1,63
-1.0_0.3_12__4		18,43 | 30	18,43 | 30	6,11	2,01	1,42
-1.0_0.3_12__6		9,97 | 30	9,97 | 30	6,60	0,94	0,97
-1.0_0.3_12__8		7,28 | 30	7,28 | 30	5,36	1,76	1,33
-1.0_0.5_12__10		1,11 | 30	1,11 | 30	9,67	3,09	1,76
-1.0_0.5_12__2		40,92 | 30	40,92 | 30	7,46	3,68	1,92
-1.0_0.5_12__4		17,10 | 30	17,10 | 30	7,50	3,35	1,83
-1.0_0.5_12__6		8,96 | 30	8,96 | 30	7,77	3,41	1,85
-1.0_0.5_12__8		5,58 | 30	5,58 | 30	7,22	0,87	0,93
-1.0_0.7_12__10		0,31 | 23	0,31 | 23	11,07	0,13	0,37
-1.0_0.7_12__2		38,04 | 30	38,04 | 30	10,00	5,54	2,35
-1.0_0.7_12__4		14,98 | 30	14,98 | 30	9,75	4,28	2,07
-1.0_0.7_12__6		7,91 | 30	7,91 | 30	9,10	4,41	2,10
-1.0_0.7_12__8		3,23 | 30	3,23 | 30	9,94	3,18	1,78
-1.0_1.0_12__10		3,63 | 30	3,63 | 30	6,76	0,08	0,29
-1.0_1.0_12__2		42,99 | 30	42,99 | 30	5,68	0,63	0,79
-1.0_1.0_12__4		18,84 | 30	18,84 | 30	5,75	0,25	0,50
-1.0_1.0_12__6		10,81 | 30	10,81 | 30	5,80	0,14	0,37
-1.0_1.0_12__8		6,79 | 30	6,79 | 30	5,85	0,16	0,40



ALPHA = 2.5
JOBS COUNT = 100
seria			withSort	withoutSort	Elb		Dlb		Slb
-1.0_0.0_12__10		8,33 | 30	8,33 | 30	1,70	0,00	0,03
-1.0_0.0_12__2		48,47 | 30	48,47 | 30	1,31	0,00	0,04
-1.0_0.0_12__4		23,17 | 30	23,17 | 30	1,67	0,00	0,05
-1.0_0.0_12__6		14,85 | 30	14,85 | 30	1,74	0,00	0,05
-1.0_0.0_12__8		10,70 | 30	10,70 | 30	1,77	0,00	0,04
-1.0_0.3_12__10		6,79 | 30	6,79 | 30	3,25	0,33	0,57
-1.0_0.3_12__2		46,29 | 30	46,29 | 30	2,92	0,66	0,81
-1.0_0.3_12__4		21,71 | 30	21,71 | 30	2,97	0,49	0,70
