ALPHA = 1.5
JOBS COUNT = 50

block size|small| Ea1  | Da1  | Ea2  | Da2
-------------------------------------
2         | 0.0 | 50.71 | 0.00 | 6.40 | 0.24
4         | 0.0 | 25.63 | 0.00 | 5.11 | 0.08
6         | 0.0 | 17.36 | 0.00 | 4.99 | 0.05
8         | 0.0 | 13.25 | 0.00 | 4.84 | 0.07
10        | 0.0 | 10.94 | 0.00 | 5.26 | 0.05
2         | 0.3 | 50.92 | 0.00 | 9.13 | 1.01
4         | 0.3 | 25.88 | 0.00 | 7.47 | 0.57
6         | 0.3 | 17.65 | 0.00 | 7.17 | 0.27
8         | 0.3 | 13.56 | 0.00 | 6.66 | 0.24
10        | 0.3 | 11.34 | 0.00 | 7.09 | 0.23
2         | 0.5 | 51.14 | 0.01 | 11.53| 1.41
4         | 0.5 | 26.13 | 0.01 | 9.15 | 0.81
6         | 0.5 | 17.93 | 0.01 | 8.40 | 0.94
8         | 0.5 | 13.86 | 0.01 | 7.85 | 0.44
10        | 0.5 | 11.77 | 0.03 | 8.72 | 0.30
2         | 0.7 | 51.46 | 0.01 | 15.14| 2.38
4         | 0.7 | 26.51 | 0.02 | 11.33| 1.26
6         | 0.7 | 18.35 | 0.02 | 10.28| 1.30
8         | 0.7 | 14.33 | 0.02 | 9.71 | 0.53
10        | 0.7 | 12.01 | 0.02 | 8.44 | 0.20
2         | 1.0 | 50.77 | 0.00 | 7.38 | 0.45
4         | 1.0 | 25.71 | 0.00 | 5.96 | 0.19
6         | 1.0 | 17.45 | 0.00 | 5.75 | 0.13
8         | 1.0 | 13.38 | 0.00 | 5.70 | 0.08
10        | 1.0 | 11.07 | 0.00 | 6.14 | 0.07
avg       |     | 23,96 | 0,01 | 7,82 | 0,53


ALPHA = 1.5
JOBS COUNT = 100

block size|small| Ea1  | Da1  | Ea2  | Da2
-------------------------------------
2         | 0.0 | 50.38 | 0.00 | 3.11 | 0.05
4         | 0.0 | 25.32 | 0.00 | 2.90 | 0.06
6         | 0.0 | 17.01 | 0.00 | 2.79 | 0.02
8         | 0.0 | 12.88 | 0.00 | 2.91 | 0.02
10        | 0.0 | 10.44 | 0.00 | 2.87 | 0.03
2         | 0.3 | 50.50 | 0.00 | 4.22 | 0.13
4         | 0.3 | 25.46 | 0.00 | 4.33 | 0.19
6         | 0.3 | 17.17 | 0.00 | 4.18 | 0.13
8         | 0.3 | 13.05 | 0.00 | 4.16 | 0.09
10        | 0.3 | 10.64 | 0.00 | 3.98 | 0.06
2         | 0.5 | 50.64 | 0.00 | 5.23 | 0.45
4         | 0.5 | 25.59 | 0.00 | 5.23 | 0.15
6         | 0.5 | 17.34 | 0.00 | 5.05 | 0.15
8         | 0.5 | 13.21 | 0.00 | 5.02 | 0.11
10        | 0.5 | 10.84 | 0.00 | 4.69 | 0.18
2         | 0.7 | 50.81 | 0.00 | 6.68 | 0.49
4         | 0.7 | 25.80 | 0.00 | 6.56 | 0.33
6         | 0.7 | 17.56 | 0.00 | 6.29 | 0.28
8         | 0.7 | 13.49 | 0.00 | 6.18 | 0.12
10        | 0.7 | 11.14 | 0.00 | 5.33 | 0.09
2         | 1.0 | 50.42 | 0.00 | 3.50 | 0.09
4         | 1.0 | 25.37 | 0.00 | 3.45 | 0.12
6         | 1.0 | 17.06 | 0.00 | 3.24 | 0.06
8         | 1.0 | 12.93 | 0.00 | 3.31 | 0.04
10        | 1.0 | 10.50 | 0.00 | 3.30 | 0.04
avg       |     | 23,42 | 0,00 | 4,34 | 0,14


ALPHA = 2.0
JOBS COUNT = 50

block size|small| Ea1  | Da1  | Ea2  | Da2
-------------------------------------
2         | 0.0 | 50.90 | 0.00 | 5.13 | 0.23
