id;alpha;jobs_count;single;small;example_number;blocks;series_name;energy;jobs;lower_bound;solution;permutation;iteration_solution_found;time_solution_found;total_ga_time;iterations_count;population_size;elites_count;random_initial_population_probability;best_random_population_size;selection_type;crossover_probability;crossover_type;mutation_probability;mutation_type;mutation_window;lambda;include_zero
1;1.5;50;0.5;0.5;0;0;11;100000;[[1, 20], [2, 10], [1, 60], [2, 30], [1, 80], [2, 40], [1, 100], [2, 50], [1, 120], [2, 60], [1, 140], [2, 70], [1, 140], [2, 70], [1, 160], [2, 80], [1, 180], [2, 90], [1, 200], [2, 100], [1, 400], [2, 200], [1, 550], [2, 275], [1, 550], [2, 275], [1, 700], [2, 350], [1, 700], [2, 350], [1, 850], [2, 425], [1, 1000], [2, 500], [1, 1000], [2, 500], [1, 1150], [2, 575], [1, 1300], [2, 650], [1, 1300], [2, 650], [1, 1450], [2, 725], [1, 1600], [2, 800], [1, 1600], [2, 800], [1, 1600], [2, 800]];22268.338118748943;22986.77226232098;[2, 4, 6, 13, 7, 8, 5, 3, 9, 10, 14, 12, 16, 17, 15, 18, 20, 21, 19, 22, 1, 26, 24, 25, 23, 27, 29, 30, 28, 32, 11, 33, 31, 37, 35, 34, 36, 38, 50, 41, 39, 42, 40, 44, 43, 49, 47, 45, 46, 48];3766;87;336;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.0;true
2;1.5;50;0.5;0.5;1;0;11;100000;[[1, 20], [2, 10], [1, 40], [2, 20], [1, 60], [2, 30], [1, 100], [2, 50], [1, 100], [2, 50], [1, 120], [2, 60], [1, 140], [2, 70], [1, 140], [2, 70], [1, 160], [2, 80], [1, 180], [2, 90], [1, 180], [2, 90], [1, 180], [2, 90], [1, 400], [2, 200], [1, 400], [2, 200], [1, 550], [2, 275], [1, 550], [2, 275], [1, 700], [2, 350], [1, 850], [2, 425], [1, 1150], [2, 575], [1, 1300], [2, 650], [1, 1300], [2, 650], [1, 1450], [2, 725], [1, 1600], [2, 800], [1, 1600], [2, 800], [1, 1750], [2, 875]];13609.864981857987;14128.395240654816;[33, 2, 4, 6, 10, 8, 5, 1, 7, 13, 9, 15, 11, 3, 23, 12, 16, 14, 18, 22, 24, 20, 25, 27, 21, 17, 19, 31, 28, 26, 32, 30, 34, 37, 29, 35, 36, 38, 40, 42, 39, 41, 43, 47, 45, 49, 44, 46, 48, 50];15100;495;497;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.0;true
3;1.5;50;0.5;0.5;2;0;11;100000;[[1, 20], [2, 10], [1, 20], [2, 10], [1, 20], [2, 10], [1, 40], [2, 20], [1, 60], [2, 30], [1, 80], [2, 40], [1, 80], [2, 40], [1, 80], [2, 40], [1, 100], [2, 50], [1, 120], [2, 60], [1, 120], [2, 60], [1, 140], [2, 70], [1, 140], [2, 70], [1, 140], [2, 70], [1, 160], [2, 80], [1, 180], [2, 90], [1, 180], [2, 90], [1, 550], [2, 275], [1, 550], [2, 275], [1, 850], [2, 425], [1, 850], [2, 425], [1, 1150], [2, 575], [1, 1150], [2, 575], [1, 1450], [2, 725], [1, 1600], [2, 800]];3083.3694067954075;3227.1388900749994;[2, 6, 4, 8, 15, 9, 3, 5, 7, 17, 10, 12, 16, 14, 18, 20, 22, 19, 11, 21, 27, 13, 23, 29, 25, 24, 28, 26, 30, 34, 32, 33, 37, 35, 1, 31, 36, 38, 42, 40, 39, 41, 43, 45, 46, 44, 49, 47, 48, 50];5366;193;580;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.0;true
4;1.5;50;0.5;0.5;3;0;11;100000;[[1, 20], [2, 10], [1, 40], [2, 20], [1, 40], [2, 20], [1, 60], [2, 30], [1, 80], [2, 40], [1, 80], [2, 40], [1, 100], [2, 50], [1, 120], [2, 60], [1, 120], [2, 60], [1, 120], [2, 60], [1, 140], [2, 70], [1, 160], [2, 80], [1, 160], [2, 80], [1, 200], [2, 100], [1, 400], [2, 200], [1, 550], [2, 275], [1, 850], [2, 425], [1, 1000], [2, 500], [1, 1000], [2, 500], [1, 1150], [2, 575], [1, 1300], [2, 650], [1, 1450], [2, 725], [1, 1450], [2, 725], [1, 1600], [2, 800], [1, 1750], [2, 875]];10155.879852678721;10590.5447519038;[2, 4, 8, 7, 5, 13, 11, 12, 10, 14, 3, 15, 23, 9, 17, 19, 6, 25, 1, 21, 27, 20, 16, 18, 22, 24, 26, 28, 30, 32, 31, 29, 33, 34, 36, 38, 41, 35, 37, 39, 40, 42, 46, 45, 43, 49, 47, 44, 48, 50];11413;463;616;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.0;true
5;1.5;50;0.5;0.5;4;0;11;100000;[[1, 20], [2, 10], [1, 20], [2, 10], [1, 40], [2, 20], [1, 60], [2, 30], [1, 60], [2, 30], [1, 80], [2, 40], [1, 100], [2, 50], [1, 100], [2, 50], [1, 140], [2, 70], [1, 160], [2, 80], [1, 160], [2, 80], [1, 160], [2, 80], [1, 160], [2, 80], [1, 180], [2, 90], [1, 200], [2, 100], [1, 200], [2, 100], [1, 400], [2, 200], [1, 550], [2, 275], [1, 700], [2, 350], [1, 850], [2, 425], [1, 850], [2, 425], [1, 1150], [2, 575], [1, 1300], [2, 650], [1, 1450], [2, 725], [1, 1750], [2, 875]];4357.744404194563;4561.51449552582;[4, 2, 5, 7, 18, 3, 6, 8, 10, 12, 14, 16, 1, 13, 15, 11, 25, 9, 23, 19, 17, 21, 29, 20, 22, 24, 26, 28, 30, 32, 31, 33, 34, 36, 27, 38, 37, 39, 41, 35, 40, 42, 44, 45, 43, 46, 49, 47, 48, 50];6364;250;540;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.0;true
6;1.5;50;0.5;0.5;5;0;11;100000;[[1, 20], [2, 10], [1, 40], [2, 20], [1, 60], [2, 30], [1, 80], [2, 40], [1, 80], [2, 40], [1, 80], [2, 40], [1, 100], [2, 50], [1, 140], [2, 70], [1, 160], [2, 80], [1, 160], [2, 80], [1, 200], [2, 100], [1, 400], [2, 200], [1, 550], [2, 275], [1, 700], [2, 350], [1, 700], [2, 350], [1, 700], [2, 350], [1, 850], [2, 425], [1, 1000], [2, 500], [1, 1000], [2, 500], [1, 1150], [2, 575], [1, 1150], [2, 575], [1, 1300], [2, 650], [1, 1450], [2, 725], [1, 1600], [2, 800], [1, 1750], [2, 875]];15680.846093725488;16251.4618599318;[2, 4, 7, 1, 6, 12, 25, 10, 8, 14, 9, 19, 17, 11, 15, 5, 21, 13, 16, 18, 20, 22, 24, 26, 3, 23, 31, 27, 29, 33, 30, 32, 28, 34, 38, 36, 41, 37, 39, 35, 42, 40, 44, 45, 43, 49, 47, 46, 48, 50];211;17;472;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.0;true
7;1.5;50;0.5;0.5;6;0;11;100000;[[1, 20], [2, 10], [1, 60], [2, 30], [1, 80], [2, 40], [1, 80], [2, 40], [1, 100], [2, 50], [1, 100], [2, 50], [1, 100], [2, 50], [1, 120], [2, 60], [1, 140], [2, 70], [1, 160], [2, 80], [1, 160], [2, 80], [1, 180], [2, 90], [1, 180], [2, 90], [1, 200], [2, 100], [1, 200], [2, 100], [1, 400], [2, 200], [1, 550], [2, 275], [1, 550], [2, 275], [1, 700], [2, 350], [1, 700], [2, 350], [1, 850], [2, 425], [1, 1150], [2, 575], [1, 1150], [2, 575], [1, 1300], [2, 650], [1, 1600], [2, 800]];4805.57486844807;5012.358488017943;[2, 1, 7, 3, 4, 6, 8, 12, 14, 16, 17, 13, 11, 15, 21, 19, 9, 23, 5, 27, 18, 20, 22, 24, 26, 29, 25, 28, 30, 32, 33, 31, 39, 35, 34, 36, 38, 40, 42, 41, 37, 45, 43, 10, 46, 44, 49, 47, 48, 50];15037;469;472;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.0;true
8;1.5;50;0.5;0.5;7;0;11;100000;[[1, 20], [2, 10], [1, 20], [2, 10], [1, 40], [2, 20], [1, 60], [2, 30], [1, 80], [2, 40], [1, 100], [2, 50], [1, 120], [2, 60], [1, 140], [2, 70], [1, 140], [2, 70], [1, 160], [2, 80], [1, 180], [2, 90], [1, 200], [2, 100], [1, 200], [2, 100], [1, 400], [2, 200], [1, 400], [2, 200], [1, 700], [2, 350], [1, 850], [2, 425], [1, 850], [2, 425], [1, 1000], [2, 500], [1, 1150], [2, 575], [1, 1150], [2, 575], [1, 1300], [2, 650], [1, 1450], [2, 725], [1, 1600], [2, 800], [1, 1750], [2, 875]];10869.335700429767;11315.293793899084;[4, 2, 6, 7, 9, 1, 5, 10, 12, 14, 18, 16, 23, 13, 21, 3, 15, 17, 11, 19, 25, 20, 22, 24, 26, 27, 29, 28, 30, 32, 33, 31, 37, 35, 36, 34, 38, 42, 40, 44, 41, 43, 39, 45, 47, 49, 8, 46, 48, 50];7274;244;472;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.0;true
9;1.5;50;0.5;0.5;8;0;11;100000;[[1, 20], [2, 10], [1, 40], [2, 20], [1, 60], [2, 30], [1, 100], [2, 50], [1, 100], [2, 50], [1, 100], [2, 50], [1, 120], [2, 60], [1, 140], [2, 70], [1, 160], [2, 80], [1, 180], [2, 90], [1, 200], [2, 100], [1, 200], [2, 100], [1, 400], [2, 200], [1, 850], [2, 425], [1, 850], [2, 425], [1, 1000], [2, 500], [1, 1000], [2, 500], [1, 1150], [2, 575], [1, 1300], [2, 650], [1, 1300], [2, 650], [1, 1300], [2, 650], [1, 1600], [2, 800], [1, 1600], [2, 800], [1, 1750], [2, 875], [1, 1750], [2, 875]];22174.37166970606;22869.819656048323;[2, 4, 6, 9, 1, 5, 3, 19, 13, 7, 11, 10, 12, 8, 14, 16, 17, 15, 18, 22, 24, 23, 20, 25, 21, 26, 30, 28, 27, 29, 31, 33, 32, 34, 36, 37, 35, 41, 39, 42, 40, 38, 43, 45, 49, 47, 44, 46, 50, 48];12455;352;405;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.0;true
10;1.5;50;0.5;0.5;9;0;11;100000;[[1, 20], [2, 10], [1, 20], [2, 10], [1, 40], [2, 20], [1, 40], [2, 20], [1, 60], [2, 30], [1, 80], [2, 40], [1, 100], [2, 50], [1, 120], [2, 60], [1, 120], [2, 60], [1, 160], [2, 80], [1, 180], [2, 90], [1, 180], [2, 90], [1, 180], [2, 90], [1, 200], [2, 100], [1, 400], [2, 200], [1, 550], [2, 275], [1, 700], [2, 350], [1, 1000], [2, 500], [1, 1150], [2, 575], [1, 1300], [2, 650], [1, 1450], [2, 725], [1, 1450], [2, 725], [1, 1600], [2, 800], [1, 1600], [2, 800], [1, 1750], [2, 875]];11278.643085908408;11728.159503159632;[4, 2, 7, 11, 3, 5, 1, 8, 6, 10, 12, 14, 16, 18, 13, 25, 23, 17, 19, 9, 15, 20, 22, 26, 24, 28, 30, 31, 29, 21, 33, 32, 34, 36, 38, 35, 37, 39, 41, 40, 42, 44, 47, 46, 43, 49, 45, 48, 27, 50];11855;251;315;10000;200;2;0.2;10;RANKING;0.8;OPX;0.2;SHIFT;-1;0.0;true
