ALPHA = 1.5
JOBS COUNT = 50
seria				E		D		S
-1.0_0.0_12_10		10,67	0,00	0,00
-1.0_0.0_12_2		50,55	0,00	0,00
-1.0_0.0_12_4		25,47	0,00	0,00
-1.0_0.0_12_6		17,17	0,00	0,00
-1.0_0.0_12_8		13,04	0,00	0,00
-1.0_0.3_12_10		11,10	0,01	0,09
-1.0_0.3_12_2		50,73	0,00	0,05
-1.0_0.3_12_4		25,67	0,00	0,04
-1.0_0.3_12_6		17,39	0,00	0,06
-1.0_0.3_12_8		13,30	0,00	0,05
-1.0_0.5_12_10		11,59	0,03	0,17
-1.0_0.5_12_2		50,95	0,00	0,05
-1.0_0.5_12_4		25,84	0,00	0,05
-1.0_0.5_12_6		17,62	0,01	0,09
-1.0_0.5_12_8		13,56	0,01	0,12
-1.0_0.7_12_10		12,11	0,06	0,24
-1.0_0.7_12_2		51,26	0,01	0,12
-1.0_0.7_12_4		26,22	0,01	0,08
-1.0_0.7_12_6		18,10	0,02	0,15
-1.0_0.7_12_8		13,99	0,03	0,16
-1.0_1.0_12_10		11,09	0,00	0,05
-1.0_1.0_12_2		50,78	0,00	0,04
-1.0_1.0_12_4		25,72	0,00	0,03
-1.0_1.0_12_6		17,46	0,00	0,05
-1.0_1.0_12_8		13,36	0,00	0,04



ALPHA = 1.5
JOBS COUNT = 100
seria				E		D		S
-1.0_0.0_12_10		10,30	0,00	0,00
-1.0_0.0_12_2		50,30	0,00	0,00
-1.0_0.0_12_4		25,24	0,00	0,00
-1.0_0.0_12_6		16,91	0,00	0,00
-1.0_0.0_12_8		12,76	0,00	0,00
-1.0_0.3_12_10		10,47	0,00	0,02
-1.0_0.3_12_2		50,39	0,00	0,01
-1.0_0.3_12_4		25,33	0,00	0,01
-1.0_0.3_12_6		17,02	0,00	0,01
-1.0_0.3_12_8		12,89	0,00	0,02
-1.0_0.5_12_10		10,65	0,00	0,04
-1.0_0.5_12_2		50,51	0,00	0,02
-1.0_0.5_12_4		25,45	0,00	0,02
-1.0_0.5_12_6		17,15	0,00	0,02
-1.0_0.5_12_8		13,03	0,00	0,02
-1.0_0.7_12_10		10,99	0,00	0,07
-1.0_0.7_12_2		50,69	0,00	0,04
-1.0_0.7_12_4		25,65	0,00	0,04
-1.0_0.7_12_6		17,42	0,00	0,05
-1.0_0.7_12_8		13,31	0,00	0,06
-1.0_1.0_12_10		10,51	0,00	0,01
-1.0_1.0_12_2		50,42	0,00	0,01
-1.0_1.0_12_4		25,36	0,00	0,01
-1.0_1.0_12_6		17,06	0,00	0,01
-1.0_1.0_12_8		12,93	0,00	0,01



ALPHA = 2.0
JOBS COUNT = 50
seria				E		D		S
-1.0_0.0_12_10		10,47	0,00	0,00
-1.0_0.0_12_2		50,71	0,00	0,00
-1.0_0.0_12_4		25,46	0,00	0,00
-1.0_0.0_12_6		17,08	0,00	0,00
-1.0_0.0_12_8		12,90	0,00	0,00
-1.0_0.3_12_10		10,80	0,00	0,07
-1.0_0.3_12_2		50,95	0,00	0,06
-1.0_0.3_12_4		25,65	0,00	0,05
-1.0_0.3_12_6		17,27	0,00	0,04
-1.0_0.3_12_8		13,11	0,00	0,05
-1.0_0.5_12_10		11,08	0,01	0,10
-1.0_0.5_12_2		51,24	0,01	0,09
-1.0_0.5_12_4		25,87	0,01	0,09
-1.0_0.5_12_6		17,48	0,00	0,05
-1.0_0.5_12_8		13,30	0,01	0,07
-1.0_0.7_12_10		11,53	0,03	0,18
-1.0_0.7_12_2		51,62	0,01	0,12
-1.0_0.7_12_4		26,16	0,01	0,12
-1.0_0.7_12_6		17,82	0,01	0,12
-1.0_0.7_12_8		13,63	0,01	0,12
-1.0_1.0_12_10		10,76	0,00	0,02
-1.0_1.0_12_2		50,99	0,00	0,03
-1.0_1.0_12_4		25,68	0,00	0,02
-1.0_1.0_12_6		17,30	0,00	0,03
-1.0_1.0_12_8		13,13	0,00	0,02



ALPHA = 2.0
JOBS COUNT = 100
seria				E		D		S
-1.0_0.0_12_10		10,21	0,00	0,00
-1.0_0.0_12_2		50,37	0,00	0,00
-1.0_0.0_12_4		25,23	0,00	0,00
-1.0_0.0_12_6		16,87	0,00	0,00
-1.0_0.0_12_8		12,69	0,00	0,00
-1.0_0.3_12_10		10,33	0,00	0,02
-1.0_0.3_12_2		50,51	0,00	0,01
-1.0_0.3_12_4		25,33	0,00	0,01
-1.0_0.3_12_6		16,95	0,00	0,01
-1.0_0.3_12_8		12,79	0,00	0,01
-1.0_0.5_12_10		10,45	0,00	0,03
-1.0_0.5_12_2		50,65	0,00	0,03
-1.0_0.5_12_4		25,43	0,00	0,02
-1.0_0.5_12_6		17,06	0,00	0,02
-1.0_0.5_12_8		12,90	0,00	0,02
-1.0_0.7_12_10		10,69	0,00	0,04
-1.0_0.7_12_2		50,88	0,00	0,04
-1.0_0.7_12_4		25,62	0,00	0,03
-1.0_0.7_12_6		17,23	0,00	0,03
-1.0_0.7_12_8		13,10	0,00	0,05
-1.0_1.0_12_10		10,34	0,00	0,01
-1.0_1.0_12_2		50,53	0,00	0,01
-1.0_1.0_12_4		25,34	0,00	0,01
-1.0_1.0_12_6		16,97	0,00	0,01
-1.0_1.0_12_8		12,81	0,00	0,01



ALPHA = 2.5
JOBS COUNT = 50
seria				E		D		S
-1.0_0.0_12_10		10,39	0,00	0,00
-1.0_0.0_12_2		50,79	0,00	0,00
-1.0_0.0_12_4		25,46	0,00	0,00
-1.0_0.0_12_6		17,04	0,00	0,00
-1.0_0.0_12_8		12,84	0,00	0,00
-1.0_0.3_12_10		10,63	0,00	0,07
-1.0_0.3_12_2		51,07	0,00	0,07
-1.0_0.3_12_4		25,65	0,00	0,03
-1.0_0.3_12_6		17,22	0,00	0,04
-1.0_0.3_12_8		13,01	0,00	0,03
-1.0_0.5_12_10		10,86	0,01	0,08
-1.0_0.5_12_2		51,38	0,01	0,08
-1.0_0.5_12_4		25,85	0,01	0,08
-1.0_0.5_12_6		17,40	0,00	0,06
-1.0_0.5_12_8		13,20	0,01	0,07
-1.0_0.7_12_10		11,29	0,01	0,10
-1.0_0.7_12_2		51,77	0,02	0,13
-1.0_0.7_12_4		26,15	0,01	0,10
-1.0_0.7_12_6		17,69	0,01	0,09
-1.0_0.7_12_8		13,46	0,01	0,09
-1.0_1.0_12_10		10,63	0,00	0,03
-1.0_1.0_12_2		51,10	0,00	0,04
-1.0_1.0_12_4		25,67	0,00	0,02
-1.0_1.0_12_6		17,24	0,00	0,03
-1.0_1.0_12_8		13,04	0,00	0,03



ALPHA = 2.5
JOBS COUNT = 100
seria				E		D		S
-1.0_0.0_12_10		10,17	0,00	0,00
-1.0_0.0_12_2		50,41	0,00	0,00
-1.0_0.0_12_4		25,23	0,00	0,00
