ALPHA = 1.5
JOBS COUNT = 50
seria			E		D		S
0.3_0.0_21		4,48	1,46	1,21
0.3_0.3_21		6,83	3,74	1,93
0.3_0.5_21		7,80	7,35	2,71
0.3_0.7_21		10,07	21,66	4,65
0.3_1.0_21		1,27	0,09	0,30
0.5_0.0_21		5,51	1,86	1,36
0.5_0.3_21		6,67	2,57	1,60
0.5_0.5_21		8,44	7,42	2,72
0.5_0.7_21		10,52	8,18	2,86
0.5_1.0_21		1,61	0,09	0,30
0.7_0.0_21		5,43	1,13	1,06
0.7_0.3_21		7,21	3,23	1,80
0.7_0.5_21		8,57	6,38	2,53
0.7_0.7_21		10,95	5,81	2,41
0.7_1.0_21		2,16	0,07	0,26



ALPHA = 1.5
JOBS COUNT = 100
seria			E		D		S
0.3_0.0_21		2,16	0,20	0,44
0.3_0.3_21		3,18	0,48	0,69
0.3_0.5_21		4,29	0,24	0,49
0.3_0.7_21		6,33	2,08	1,44
0.3_1.0_21		0,62	0,01	0,11
0.5_0.0_21		2,50	0,30	0,55
0.5_0.3_21		3,68	0,34	0,58
0.5_0.5_21		5,73	1,14	1,07
0.5_0.7_21		7,21	1,68	1,30
0.5_1.0_21		0,79	0,01	0,10
0.7_0.0_21		3,04	0,20	0,44
0.7_0.3_21		3,91	0,39	0,62
0.7_0.5_21		5,18	0,72	0,85
0.7_0.7_21		7,20	1,74	1,32
0.7_1.0_21		1,03	0,01	0,09



ALPHA = 2.0
JOBS COUNT = 50
seria			E		D		S
0.3_0.0_21		4,64	2,58	1,61
0.3_0.3_21		5,88	3,26	1,81
0.3_0.5_21		8,39	5,86	2,42
0.3_0.7_21		8,27	6,29	2,51
0.3_1.0_21		1,49	0,18	0,43
0.5_0.0_21		6,07	2,73	1,65
0.5_0.3_21		7,77	3,30	1,82
0.5_0.5_21		9,03	5,15	2,27
0.5_0.7_21		10,10	12,84	3,58
0.5_1.0_21		1,68	0,17	0,41
0.7_0.0_21		5,28	1,77	1,33
0.7_0.3_21		7,18	4,78	2,19
0.7_0.5_21		8,73	3,84	1,96
0.7_0.7_21		11,85	7,39	2,72
0.7_1.0_21		2,19	0,08	0,28



ALPHA = 2.0
JOBS COUNT = 100
seria			E		D		S
0.3_0.0_21		2,58	0,20	0,45
0.3_0.3_21		3,71	0,71	0,84
0.3_0.5_21		4,54	1,15	1,07
0.3_0.7_21		6,19	2,27	1,51
0.3_1.0_21		0,67	0,02	0,15
0.5_0.0_21		2,87	0,23	0,48
0.5_0.3_21		4,24	0,43	0,66
0.5_0.5_21		5,72	1,00	1,00
0.5_0.7_21		6,60	1,39	1,18
0.5_1.0_21		0,82	0,01	0,12
0.7_0.0_21		3,29	0,26	0,51
0.7_0.3_21		4,38	0,58	0,76
0.7_0.5_21		5,41	0,77	0,88
0.7_0.7_21		7,66	1,98	1,41
0.7_1.0_21		1,07	0,01	0,10



ALPHA = 2.5
JOBS COUNT = 50
seria			E		D		S
0.3_0.0_21		4,67	1,55	1,24
0.3_0.3_21		7,58	5,01	2,24
0.3_0.5_21		7,70	7,37	2,72
0.3_0.7_21		9,19	14,09	3,75
0.3_1.0_21		1,57	0,20	0,45
0.5_0.0_21		6,18	2,55	1,60
0.5_0.3_21		7,45	4,45	2,11
0.5_0.5_21		8,56	7,27	2,70
0.5_0.7_21		11,58	15,28	3,91
0.5_1.0_21		1,72	0,14	0,37
0.7_0.0_21		5,79	1,84	1,36
0.7_0.3_21		7,60	3,75	1,94
0.7_0.5_21		9,19	4,05	2,01
0.7_0.7_21		13,26	14,92	3,86
0.7_1.0_21		2,12	0,08	0,28



ALPHA = 2.5
JOBS COUNT = 100
seria			E		D		S
0.3_0.0_21		2,56	0,31	0,56
0.3_0.3_21		3,74	0,63	0,79
0.3_0.5_21		5,24	1,03	1,01
0.3_0.7_21		6,62	2,25	1,50
0.3_1.0_21		0,79	0,02	0,15
0.5_0.0_21		2,77	0,20	0,45
0.5_0.3_21		4,33	0,65	0,81
0.5_0.5_21		5,83	1,26	1,12
0.5_0.7_21		7,80	2,77	1,66
0.5_1.0_21		0,86	0,02	0,13
0.7_0.0_21		3,17	0,25	0,50
0.7_0.3_21		4,21	0,63	0,79
0.7_0.5_21		5,35	0,62	0,78
0.7_0.7_21		7,12	1,23	1,11
0.7_1.0_21		1,09	0,01	0,10



ALPHA = 3.0
JOBS COUNT = 50
seria			E		D		S
0.3_0.0_21		5,02	1,52	1,23
0.3_0.3_21		7,33	4,14	2,03
0.3_0.5_21		9,27	7,14	2,67
0.3_0.7_21		9,93	18,39	4,29
0.3_1.0_21		1,54	0,27	0,52
0.5_0.0_21		5,29	1,89	1,38
0.5_0.3_21		6,79	4,75	2,18
0.5_0.5_21		8,37	7,06	2,66
0.5_0.7_21		11,55	13,83	3,72
0.5_1.0_21		1,64	0,14	0,38
0.7_0.0_21		5,21	1,80	1,34
0.7_0.3_21		7,96	4,62	2,15
0.7_0.5_21		8,13	3,86	1,96
0.7_0.7_21		11,73	15,09	3,88
0.7_1.0_21		2,25	0,08	0,29



ALPHA = 3.0
JOBS COUNT = 100
seria			E		D		S
0.3_0.0_21		2,93	0,29	0,54
0.3_0.3_21		4,30	0,92	0,96
0.3_0.5_21		4,77	1,26	1,12
0.3_0.7_21		6,60	2,25	1,50
0.3_1.0_21		0,83	0,02	0,15
0.5_0.0_21		2,92	0,25	0,50
0.5_0.3_21		3,79	0,57	0,75
0.5_0.5_21		5,30	1,01	1,00
0.5_0.7_21		6,89	2,61	1,62
0.5_1.0_21		0,82	0,02	0,15
0.7_0.0_21		3,37	0,25	0,50
0.7_0.3_21		4,56	0,47	0,68
0.7_0.5_21		5,53	0,80	0,90
0.7_0.7_21		7,43	1,60	1,27
0.7_1.0_21		1,07	0,01	0,11
